test_id,Vin_V,D,load_fraction,Rload_Ohm,ccm_margin_A,status,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,NIS_V_mean,NIS_V_median,NIS_V_p95,gate_V_rejected_fraction,NIS_C_mean,NIS_C_p95,gate_C_rejected_fraction,NIS_R_mean,NIS_R_p95,gate_R_rejected_fraction
60,28.8,0.35,1,10,0.605224572919297,PASS,0.000100004375916722,0.00437591672195481,0.0498458817525655,0.308236494868963,2.65e-05,0.141866518226344,2.09048170586359e-06,1.21523882891248,0.004,0.00364169902499911,0.0016208462757053,0,0.00428613050452229,0.0141148879669208,0
61,28.8,0.45,0.1,100,-0.299926930177078,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
62,28.8,0.45,0.25,40,0.00764632597857669,PASS,9.99968484920283e-05,0.00315150797168817,0.0497586469896703,0.482706020659418,2.8e-05,0.108288676291099,9.03115935771553e-06,0.63919310901054,0.196,0.00424970585698254,0.00397584097642645,0.193548387096774,0.0109748344471056,0.0337502617343397,0.19277
63,28.8,0.45,0.5,20,0.517352564086534,PASS,9.99995134108589e-05,0.000486589141079907,0.0498740932430181,0.251813513963861,2.8e-05,0.127189362672605,2.64703182774818e-06,0.585178246211787,0.004,0.00386165210307798,0.00268441372839573,0,0.00673924948759539,0.0264579217934213,0
64,28.8,0.45,0.75,13.3333333333333,1.02363177583317,PASS,9.99999463685365e-05,5.36314635257717e-05,0.049933966987257,0.132066025486044,2.8e-05,0.326236799142404,1.63099907579488e-06,2.36556519602251,0.011578947368421,0.00347721829268963,0.00123577480368476,0,0.00508942222045304,0.016756925453232,0
65,28.8,0.45,1,10,1.52671416337249,PASS,0.000100000064949949,6.49499492189065e-05,0.0499566780257594,0.0866439484812576,2.8e-05,0.756066304707127,1.51310368094735e-06,7.35999584107158,0.0358947368421053,0.00333138680729259,0.000660846574579622,0,0.00430771074528426,0.0116176950481104,0
66,28.8,0.55,0.1,100,-0.405331846670231,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
67,28.8,0.55,0.25,40,0.286322845282597,PASS,9.99978684672776e-05,0.00213153272238253,0.0499284291157399,0.143141768520261,3e-05,0.131556888318791,8.11724945998979e-06,0.39462514630681,0.00515789473684214,0.00499040783718839,0.00515249163751802,0,0.0100586511455046,0.0319842385847587,0
68,28.8,0.55,0.5,20,1.23244988646009,PASS,9.99991715609252e-05,0.000828439074773701,0.049990318433807,0.0193631323860077,3e-05,0.719412277100933,2.83319426331703e-06,6.73055762860569,0.0347368421052632,0.00364695766816409,0.00113299104272754,0,0.00645564562321894,0.0189214986091396,0
69,28.8,0.55,0.75,13.3333333333333,2.11809031388437,PASS,9.99996978412753e-05,0.000302158724707624,0.0499993172076212,0.00136558475762882,3e-05,2.51109186164452,1.850460555883e-06,14.4548235079258,0.144736842105263,0.00336363760991145,0.000466447957468862,0,0.00522486574300594,0.0152415227093008,0
70,28.8,0.55,1,10,2.99930673403581,PASS,9.99998436011608e-05,0.000156398839190608,0.0499996087126758,0.000782574648372503,3e-05,5.6050109892422,0.000192781987507116,23.558925504604,0.307157894736842,0.00326788951479956,0.000265447626619718,0,0.00465308386417965,0.0125319602908679,0
71,28.8,0.65,0.1,100,-0.210466626576766,EXCLUDED_DCM,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,health update frozen
72,28.8,0.65,0.25,40,0.632803371279466,PASS,0.000100002467006569,0.00246700656882926,0.0500896417641902,0.179283528380303,3.25e-05,0.894152912432126,8.48827162240922e-06,8.09123156955305,0.0463157894736842,0.005273408092475,0.00489818433776987,0,0.00984087752334846,0.0303820537485139,0
73,28.8,0.65,0.5,20,2.02469794723331,PASS,0.000100000486925132,0.000486925132148208,0.050040771154887,0.0815423097739076,3.25e-05,5.33266717152071,8.42079932550399e-05,23.7462983991639,0.276736842105263,0.00367987807819782,0.001291405905218,0,0.00741801415263585,0.0262829956148588,0
74,28.8,0.65,0.75,13.3333333333333,3.36443723551336,PASS,0.00010000013297337,0.000132973369582068,0.0500273089678134,0.0546179356267107,3.25e-05,370.387356824212,55.5391919091954,1278.83953659817,0.664,0.00338660602731787,0.0006031388618129,0,0.00646485104728438,0.0234422287656398,0
75,28.8,0.65,1,10,4.68323073392997,PASS,0.000100000039168118,3.91681184375159e-05,0.0500203418917545,0.0406837835090323,3.25e-05,664.860193165256,75.07626256264,2312.4291052852,0.763157894736842,0.00328400872230704,0.000352441072645917,0,0.0058803599643817,0.0237067579274081,0
