sigma_v_mV_RMS,sigma_i_mA_RMS,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status,noise_type
20,10,9,9.07532159245363e-05,0.0583308726853989,0.000100805806268794,0.805806268793785,0.0504487627221797,0.897525444359482,0.0202702702702703,PASS,analog_only
20,10,10,0.000118918251960763,0.0444168359084308,0.000102287757532084,2.28775753208359,0.0511064599985181,2.21291999703617,0.027027027027027,PASS,analog_only
20,10,11,0.000114952717814671,0.0427727815351563,9.92236713593095e-05,0.776328640690516,0.0492578853497422,1.48422930051568,0.0135135135135135,PASS,analog_only
20,10,12,9.30212560941713e-05,0.044275057271068,9.98960627323699e-05,0.103937267630105,0.0507829926867305,1.565985373461,0.0067567567567568,PASS,analog_only
20,10,13,8.7307059377391e-05,0.0359092301263493,9.79300074711625e-05,2.06999252883754,0.0512949323216306,2.58986464326112,0.0067567567567568,PASS,analog_only
20,10,14,8.80471691486469e-05,0.0409479541504651,0.000101027384465697,1.02738446569737,0.0503950828321931,0.790165664386211,0.0202702702702703,PASS,analog_only
20,10,15,8.5058903044663e-05,0.0570813643653998,9.85455923015124e-05,1.4544076984876,0.0490962573506651,1.80748529866986,0.0135135135135135,PASS,analog_only
20,10,16,9.33912406334184e-05,0.0404946192074665,9.7917839574356e-05,2.08216042564398,0.0494880968296394,1.02380634072123,0.0135135135135135,PASS,analog_only
20,10,17,8.70289110660256e-05,0.0443611372259455,9.89779963481346e-05,1.02200365186538,0.047669400685847,4.661198628306,0.027027027027027,PASS,analog_only
20,10,18,0.000116096466337439,0.0430808899492752,0.000101121268063171,1.12126806317125,0.048454043034439,3.09191393112203,0.0405405405405406,PASS,analog_only
20,10,19,0.000115094803953423,0.0454814419799991,9.70183454201579e-05,2.98165457984213,0.0488586243893728,2.28275122125436,0.0135135135135135,PASS,analog_only
20,10,20,9.25312802333264e-05,0.0460852306990589,0.0001018419010216,1.84190102160029,0.0508593831208444,1.71876624168872,0.0067567567567568,PASS,analog_only
50,20,1,0.000112040506240798,0.0330478241089524,0.00010000123116034,0.00123116033987625,0.0418562611193214,16.2874777613572,0.0135135135135135,FAIL,analog_only
50,20,2,0.000109686083711694,0.0380237291645211,9.63199368979837e-05,3.68006310201628,0.0487376241326591,2.52475173468176,0.0135135135135135,FAIL,analog_only
50,20,3,8.3391656983771e-05,0.0257906630183269,9.65084086984463e-05,3.49159130155371,0.0492321511965003,1.53569760699942,0.0135135135135135,FAIL,analog_only
50,20,4,0.000123601040371291,0.0647694816641267,0.000101026776014486,1.02677601448637,0.0479861011932148,4.02779761357037,0.027027027027027,PASS,analog_only
50,20,5,9.09417342800542e-05,0.0667108701944793,0.000100569258355182,0.569258355182267,0.0502123084980598,0.424616996119531,0.0337837837837838,PASS,analog_only
50,20,6,0.000117876939297426,0.0707873584016085,9.99343000530153e-05,0.065699946984743,0.0553414217668521,10.6828435337042,0.0202702702702703,FAIL,analog_only
50,20,7,0.000135545058469192,0.0365334805069998,0.000114926339589536,14.9263395895359,0.0505573522903193,1.11470458063849,0.0067567567567568,FAIL,analog_only
50,20,8,0.00012043820721463,0.0400586798272079,0.000108169287804185,8.16928780418462,0.0458665175425888,8.26696491482247,0.0135135135135135,FAIL,analog_only
50,20,9,8.35427761927778e-05,0.0700349124254785,0.000101996933159974,1.99693315997385,0.0511845619742389,2.3691239484779,0.0202702702702703,PASS,analog_only
50,20,10,0.000118956238310447,0.0617906232944522,0.000105758623807051,5.7586238070509,0.052372189239977,4.74437847995393,0.027027027027027,FAIL,analog_only
50,20,11,0.000118800501655466,0.0343038601286898,9.81082884658384e-05,1.89171153416159,0.0480073802661325,3.98523946773507,0.0135135135135135,PASS,analog_only
50,20,12,8.85580790955165e-05,0.0620571987319813,9.97204421397057e-05,0.279557860294288,0.052272147286538,4.54429457307601,0.0067567567567568,PASS,analog_only
50,20,13,8.52180645837163e-05,0.0338121263989401,9.51192751926956e-05,4.88072480730442,0.0532549331893288,6.50986637865758,0.0067567567567568,FAIL,analog_only
50,20,14,8.38231866790282e-05,0.0370425567387612,0.000102405936012064,2.40593601206385,0.0525996348656791,5.19926973135814,0.0202702702702703,FAIL,analog_only
50,20,15,7.99178111646745e-05,0.06221822197898,9.65886072366628e-05,3.41139276333723,0.0478275775286427,4.34484494271465,0.0135135135135135,FAIL,analog_only
50,20,16,0.000109739288211403,0.0410519222120157,9.49740648205281e-05,5.02593517947193,0.0528574376192194,5.71487523843881,0.0067567567567568,FAIL,analog_only
50,20,17,0.000114936401693188,0.0418201571778274,9.75794577091245e-05,2.42054229087554,0.0445428842961966,10.9142314076069,0.027027027027027,FAIL,analog_only
50,20,18,0.000115971237670345,0.0424092182356662,0.000102753321143756,2.7533211437555,0.0464272801966303,7.14543960673948,0.0405405405405406,FAIL,analog_only
50,20,19,0.000114895755515688,0.040253868777369,9.30846145914593e-05,6.91538540854069,0.0468121126959099,6.37577460818028,0.0135135135135135,FAIL,analog_only
50,20,20,0.00010844141045452,0.0411605231013644,0.000104609150832107,4.60915083210716,0.051923858105047,3.84771621009408,0.0067567567567568,FAIL,analog_only
