voltage_architecture,D,load,load_scale,C_F,ESR_Ohm,AFE_component_tolerance,AFE_highpass_Hz,AFE_lowpass_Hz,kR_raw,kR_after_once_calibration,raw_deviation_percent,calibrated_deviation_percent,one_time_calibration_within_1_percent
V1,0.3,high,2,0.0001,0.1,0.01,0,1200000,0.93058,1.00148514851485,-6.94199999999999,0.148514851485149,1
V1,0.3,high,2,0.0001,0.1,0.05,0,1200000,0.96738,1.00142857142857,-3.26199999999999,0.142857142857156,1
V1,0.4,low_CCM,0.5,8e-05,0.05,-0.05,0,1200000,0.863748571428571,0.988270676691729,-13.6251428571429,-1.17293233082707,0
V1,0.4,low_CCM,0.5,8e-05,0.05,-0.01,0,1200000,0.900548571428571,0.988744588744589,-9.94514285714285,-1.12554112554113,0
V1,0.4,low_CCM,0.5,8e-05,0.05,0.01,0,1200000,0.918948571428571,0.988967468175389,-8.10514285714286,-1.10325318246111,0
V1,0.4,low_CCM,0.5,8e-05,0.05,0.05,0,1200000,0.955748571428572,0.989387755102041,-4.42514285714285,-1.06122448979592,0
V1,0.4,low_CCM,0.5,8e-05,0.075,-0.05,0,1200000,0.865818571428571,0.990639097744361,-13.4181428571429,-0.936090225563913,1
V1,0.4,low_CCM,0.5,8e-05,0.075,-0.01,0,1200000,0.902618571428571,0.991017316017316,-9.73814285714285,-0.898268398268398,1
V1,0.4,low_CCM,0.5,8e-05,0.075,0.01,0,1200000,0.921018571428572,0.991195190947666,-7.89814285714284,-0.880480905233372,1
V1,0.4,low_CCM,0.5,8e-05,0.075,0.05,0,1200000,0.957818571428572,0.991530612244898,-4.21814285714284,-0.846938775510186,1
V1,0.4,low_CCM,0.5,8e-05,0.1,-0.05,0,1200000,0.867888571428571,0.993007518796992,-13.2111428571429,-0.699248120300766,1
V1,0.4,low_CCM,0.5,8e-05,0.1,-0.01,0,1200000,0.904688571428571,0.993290043290043,-9.53114285714286,-0.670995670995678,1
V1,0.4,low_CCM,0.5,8e-05,0.1,0.01,0,1200000,0.923088571428571,0.993422913719943,-7.69114285714285,-0.65770862800566,1
V1,0.4,low_CCM,0.5,8e-05,0.1,0.05,0,1200000,0.959888571428572,0.993673469387755,-4.01114285714285,-0.632653061224486,1
V1,0.4,low_CCM,0.5,9e-05,0.05,-0.05,0,1200000,0.866508571428571,0.991428571428571,-13.3491428571429,-0.857142857142856,1
V1,0.4,low_CCM,0.5,9e-05,0.05,-0.01,0,1200000,0.903308571428571,0.991774891774892,-9.66914285714285,-0.822510822510825,1
V1,0.4,low_CCM,0.5,9e-05,0.05,0.01,0,1200000,0.921708571428571,0.991937765205092,-7.82914285714286,-0.806223479490809,1
V1,0.4,low_CCM,0.5,9e-05,0.05,0.05,0,1200000,0.958508571428571,0.992244897959184,-4.14914285714286,-0.775510204081642,1
V1,0.4,low_CCM,0.5,9e-05,0.075,-0.05,0,1200000,0.868578571428571,0.993796992481203,-13.1421428571429,-0.620300751879699,1
V1,0.4,low_CCM,0.5,9e-05,0.075,-0.01,0,1200000,0.905378571428571,0.994047619047619,-9.46214285714285,-0.595238095238093,1
V1,0.4,low_CCM,0.5,9e-05,0.075,0.01,0,1200000,0.923778571428571,0.994165487977369,-7.62214285714285,-0.583451202263086,1
V1,0.4,low_CCM,0.5,9e-05,0.075,0.05,0,1200000,0.960578571428572,0.994387755102041,-3.94214285714285,-0.56122448979592,1
V1,0.4,low_CCM,0.5,9e-05,0.1,-0.05,0,1200000,0.870648571428571,0.996165413533835,-12.9351428571429,-0.383458646616541,1
V1,0.4,low_CCM,0.5,9e-05,0.1,-0.01,0,1200000,0.907448571428571,0.996320346320346,-9.25514285714286,-0.367965367965384,1
V1,0.4,low_CCM,0.5,9e-05,0.1,0.01,0,1200000,0.925848571428572,0.996393210749646,-7.41514285714284,-0.360678925035351,1
V1,0.4,low_CCM,0.5,9e-05,0.1,0.05,0,1200000,0.962648571428572,0.996530612244898,-3.73514285714284,-0.346938775510186,1
V1,0.4,low_CCM,0.5,0.0001,0.05,-0.05,0,1200000,0.869268571428572,0.994586466165414,-13.0731428571428,-0.541353383458643,1
V1,0.4,low_CCM,0.5,0.0001,0.05,-0.01,0,1200000,0.906068571428571,0.994805194805195,-9.39314285714286,-0.51948051948052,1
V1,0.4,low_CCM,0.5,0.0001,0.05,0.01,0,1200000,0.924468571428572,0.994908062234795,-7.55314285714285,-0.5091937765205,1
V1,0.4,low_CCM,0.5,0.0001,0.05,0.05,0,1200000,0.961268571428572,0.995102040816327,-3.87314285714284,-0.489795918367342,1
V1,0.4,low_CCM,0.5,0.0001,0.075,-0.05,0,1200000,0.871338571428571,0.996954887218045,-12.8661428571429,-0.304511278195496,1
V1,0.4,low_CCM,0.5,0.0001,0.075,-0.01,0,1200000,0.908138571428571,0.997077922077922,-9.18614285714285,-0.292207792207799,1
V1,0.4,low_CCM,0.5,0.0001,0.075,0.01,0,1200000,0.926538571428572,0.997135785007072,-7.34614285714285,-0.286421499292777,1
V1,0.4,low_CCM,0.5,0.0001,0.075,0.05,0,1200000,0.963338571428572,0.997244897959184,-3.66614285714284,-0.275510204081619,1
V1,0.4,low_CCM,0.5,0.0001,0.1,-0.05,0,1200000,0.873408571428571,0.999323308270677,-12.6591428571429,-0.0676691729323275,1
V1,0.4,low_CCM,0.5,0.0001,0.1,-0.01,0,1200000,0.910208571428571,0.999350649350649,-8.97914285714285,-0.0649350649350677,1
V1,0.4,low_CCM,0.5,0.0001,0.1,0.01,0,1200000,0.928608571428571,0.999363507779349,-7.13914285714286,-0.0636492220650653,1
V1,0.4,low_CCM,0.5,0.0001,0.1,0.05,0,1200000,0.965408571428572,0.999387755102041,-3.45914285714285,-0.0612244897959191,1
V1,0.4,nominal,1,8e-05,0.05,-0.05,0,1200000,0.866508571428571,0.991428571428571,-13.3491428571429,-0.857142857142856,1
V1,0.4,nominal,1,8e-05,0.05,-0.01,0,1200000,0.903308571428571,0.991774891774892,-9.66914285714285,-0.822510822510825,1
V1,0.4,nominal,1,8e-05,0.05,0.01,0,1200000,0.921708571428571,0.991937765205092,-7.82914285714286,-0.806223479490809,1
V1,0.4,nominal,1,8e-05,0.05,0.05,0,1200000,0.958508571428571,0.992244897959184,-4.14914285714286,-0.775510204081642,1
V1,0.4,nominal,1,8e-05,0.075,-0.05,0,1200000,0.868578571428571,0.993796992481203,-13.1421428571429,-0.620300751879699,1
V1,0.4,nominal,1,8e-05,0.075,-0.01,0,1200000,0.905378571428571,0.994047619047619,-9.46214285714285,-0.595238095238093,1
V1,0.4,nominal,1,8e-05,0.075,0.01,0,1200000,0.923778571428571,0.994165487977369,-7.62214285714285,-0.583451202263086,1
V1,0.4,nominal,1,8e-05,0.075,0.05,0,1200000,0.960578571428572,0.994387755102041,-3.94214285714285,-0.56122448979592,1
V1,0.4,nominal,1,8e-05,0.1,-0.05,0,1200000,0.870648571428571,0.996165413533835,-12.9351428571429,-0.383458646616541,1
V1,0.4,nominal,1,8e-05,0.1,-0.01,0,1200000,0.907448571428571,0.996320346320346,-9.25514285714286,-0.367965367965384,1
V1,0.4,nominal,1,8e-05,0.1,0.01,0,1200000,0.925848571428572,0.996393210749646,-7.41514285714284,-0.360678925035351,1
V1,0.4,nominal,1,8e-05,0.1,0.05,0,1200000,0.962648571428572,0.996530612244898,-3.73514285714284,-0.346938775510186,1
V1,0.4,nominal,1,9e-05,0.05,-0.05,0,1200000,0.869268571428572,0.994586466165414,-13.0731428571428,-0.541353383458643,1
V1,0.4,nominal,1,9e-05,0.05,-0.01,0,1200000,0.906068571428571,0.994805194805195,-9.39314285714286,-0.51948051948052,1
V1,0.4,nominal,1,9e-05,0.05,0.01,0,1200000,0.924468571428572,0.994908062234795,-7.55314285714285,-0.5091937765205,1
V1,0.4,nominal,1,9e-05,0.05,0.05,0,1200000,0.961268571428572,0.995102040816327,-3.87314285714284,-0.489795918367342,1
V1,0.4,nominal,1,9e-05,0.075,-0.05,0,1200000,0.871338571428571,0.996954887218045,-12.8661428571429,-0.304511278195496,1
V1,0.4,nominal,1,9e-05,0.075,-0.01,0,1200000,0.908138571428571,0.997077922077922,-9.18614285714285,-0.292207792207799,1
V1,0.4,nominal,1,9e-05,0.075,0.01,0,1200000,0.926538571428572,0.997135785007072,-7.34614285714285,-0.286421499292777,1
V1,0.4,nominal,1,9e-05,0.075,0.05,0,1200000,0.963338571428572,0.997244897959184,-3.66614285714284,-0.275510204081619,1
V1,0.4,nominal,1,9e-05,0.1,-0.05,0,1200000,0.873408571428571,0.999323308270677,-12.6591428571429,-0.0676691729323275,1
V1,0.4,nominal,1,9e-05,0.1,-0.01,0,1200000,0.910208571428571,0.999350649350649,-8.97914285714285,-0.0649350649350677,1
V1,0.4,nominal,1,9e-05,0.1,0.01,0,1200000,0.928608571428571,0.999363507779349,-7.13914285714286,-0.0636492220650653,1
V1,0.4,nominal,1,9e-05,0.1,0.05,0,1200000,0.965408571428572,0.999387755102041,-3.45914285714285,-0.0612244897959191,1
V1,0.4,nominal,1,0.0001,0.05,-0.05,0,1200000,0.872028571428571,0.997744360902256,-12.7971428571429,-0.225563909774429,1
V1,0.4,nominal,1,0.0001,0.05,-0.01,0,1200000,0.908828571428572,0.997835497835498,-9.11714285714285,-0.216450216450215,1
V1,0.4,nominal,1,0.0001,0.05,0.01,0,1200000,0.927228571428571,0.997878359264498,-7.27714285714286,-0.212164073550214,1
V1,0.4,nominal,1,0.0001,0.05,0.05,0,1200000,0.964028571428571,0.997959183673469,-3.59714285714285,-0.204081632653064,1
V1,0.4,nominal,1,0.0001,0.075,-0.05,0,1200000,0.874098571428571,1.00011278195489,-12.5901428571429,0.0112781954887176,1
V1,0.4,nominal,1,0.0001,0.075,-0.01,0,1200000,0.910898571428571,1.00010822510823,-8.91014285714285,0.0108225108225168,1
V1,0.4,nominal,1,0.0001,0.075,0.01,0,1200000,0.929298571428572,1.00010608203678,-7.07014285714285,0.010608203677509,1
V1,0.4,nominal,1,0.0001,0.075,0.05,0,1200000,0.966098571428571,1.00010204081633,-3.39014285714285,0.0102040816326587,1
V1,0.4,nominal,1,0.0001,0.1,-0.05,0,1200000,0.876168571428571,1.00248120300752,-12.3831428571429,0.248120300751875,1
V1,0.4,nominal,1,0.0001,0.1,-0.01,0,1200000,0.912968571428571,1.00238095238095,-8.70314285714285,0.238095238095237,1
V1,0.4,nominal,1,0.0001,0.1,0.01,0,1200000,0.931368571428572,1.00233380480905,-6.86314285714285,0.233380480905243,1
V1,0.4,nominal,1,0.0001,0.1,0.05,0,1200000,0.968168571428572,1.00224489795918,-3.18314285714284,0.224489795918381,1
V1,0.4,high,2,8e-05,0.05,-0.05,0,1200000,0.872028571428571,0.997744360902256,-12.7971428571429,-0.225563909774429,1
V1,0.4,high,2,8e-05,0.05,-0.01,0,1200000,0.908828571428572,0.997835497835498,-9.11714285714285,-0.216450216450215,1
V1,0.4,high,2,8e-05,0.05,0.01,0,1200000,0.927228571428571,0.997878359264498,-7.27714285714286,-0.212164073550214,1
V1,0.4,high,2,8e-05,0.05,0.05,0,1200000,0.964028571428571,0.997959183673469,-3.59714285714285,-0.204081632653064,1
V1,0.4,high,2,8e-05,0.075,-0.05,0,1200000,0.874098571428571,1.00011278195489,-12.5901428571429,0.0112781954887176,1
V1,0.4,high,2,8e-05,0.075,-0.01,0,1200000,0.910898571428571,1.00010822510823,-8.91014285714285,0.0108225108225168,1
V1,0.4,high,2,8e-05,0.075,0.01,0,1200000,0.929298571428572,1.00010608203678,-7.07014285714285,0.010608203677509,1
V1,0.4,high,2,8e-05,0.075,0.05,0,1200000,0.966098571428571,1.00010204081633,-3.39014285714285,0.0102040816326587,1
V1,0.4,high,2,8e-05,0.1,-0.05,0,1200000,0.876168571428571,1.00248120300752,-12.3831428571429,0.248120300751875,1
V1,0.4,high,2,8e-05,0.1,-0.01,0,1200000,0.912968571428571,1.00238095238095,-8.70314285714285,0.238095238095237,1
V1,0.4,high,2,8e-05,0.1,0.01,0,1200000,0.931368571428572,1.00233380480905,-6.86314285714285,0.233380480905243,1
V1,0.4,high,2,8e-05,0.1,0.05,0,1200000,0.968168571428572,1.00224489795918,-3.18314285714284,0.224489795918381,1
V1,0.4,high,2,9e-05,0.05,-0.05,0,1200000,0.874788571428571,1.0009022556391,-12.5211428571429,0.0902255639097849,1
V1,0.4,high,2,9e-05,0.05,-0.01,0,1200000,0.911588571428572,1.0008658008658,-8.84114285714285,0.0865800865800903,1
V1,0.4,high,2,9e-05,0.05,0.01,0,1200000,0.929988571428571,1.0008486562942,-7.00114285714285,0.0848656294200945,1
V1,0.4,high,2,9e-05,0.05,0.05,0,1200000,0.966788571428572,1.00081632653061,-3.32114285714284,0.0816326530612255,1
V1,0.4,high,2,9e-05,0.075,-0.05,0,1200000,0.876858571428571,1.00327067669173,-12.3141428571429,0.327067669172942,1
V1,0.4,high,2,9e-05,0.075,-0.01,0,1200000,0.913658571428571,1.00313852813853,-8.63414285714286,0.313852813852811,1
V1,0.4,high,2,9e-05,0.075,0.01,0,1200000,0.932058571428571,1.00307637906648,-6.79414285714286,0.307637906647806,1
V1,0.4,high,2,9e-05,0.075,0.05,0,1200000,0.968858571428571,1.00295918367347,-3.11414285714285,0.295918367346926,1
V1,0.4,high,2,9e-05,0.1,-0.05,0,1200000,0.878928571428571,1.00563909774436,-12.1071428571429,0.563909774436078,1
V1,0.4,high,2,9e-05,0.1,-0.01,0,1200000,0.915728571428571,1.00541125541126,-8.42714285714285,0.541125541125531,1
V1,0.4,high,2,9e-05,0.1,0.01,0,1200000,0.934128571428571,1.00530410183876,-6.58714285714286,0.530410183875518,1
V1,0.4,high,2,9e-05,0.1,0.05,0,1200000,0.970928571428571,1.00510204081633,-2.90714285714285,0.510204081632648,1
