voltage_architecture,architecture_name,ADC_mode,nominal_bits,ENOB,fs_adc_Hz,operating_case,C_F,ESR_Ohm,LSB_edge_plant_V,LSB_C_plant_V,ESR_edge_codes,C_charge_window_codes,RMS_noise_codes,ESR_code_risk,C_code_risk,edge_plant_span_V,C_plant_span_V,vT_baseline_V,separate_edge_channel
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,9e-05,0.05,0.00152590218966964,0.00152590218966964,20.9341478955969,19.6631011303001,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,9e-05,0.075,0.00152590218966964,0.00152590218966964,31.4012218433953,19.6631011303001,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,9e-05,0.1,0.00152590218966964,0.00152590218966964,41.8682957911938,19.6631011303001,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,0.0001,0.05,0.00152590218966964,0.00152590218966964,20.9341478955969,17.6967910172701,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,0.0001,0.075,0.00152590218966964,0.00152590218966964,31.4012218433953,17.6967910172701,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,low_CCM_margin,0.0001,0.1,0.00152590218966964,0.00152590218966964,41.8682957911938,17.6967910172701,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8411703854547,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,8e-05,0.05,0.00152590218966964,0.00152590218966964,80.2311755911977,85.5871411397434,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,8e-05,0.075,0.00152590218966964,0.00152590218966964,120.346763386797,85.5871411397434,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,8e-05,0.1,0.00152590218966964,0.00152590218966964,160.462351182395,85.5871411397434,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,9e-05,0.05,0.00152590218966964,0.00152590218966964,80.2311755911977,76.077458790883,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,9e-05,0.075,0.00152590218966964,0.00152590218966964,120.346763386797,76.077458790883,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,9e-05,0.1,0.00152590218966964,0.00152590218966964,160.462351182395,76.077458790883,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,0.0001,0.05,0.00152590218966964,0.00152590218966964,80.2311755911977,68.4697129117947,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,0.0001,0.075,0.00152590218966964,0.00152590218966964,120.346763386797,68.4697129117947,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,nominal,0.0001,0.1,0.00152590218966964,0.00152590218966964,160.462351182395,68.4697129117947,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8317385273166,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,8e-05,0.05,0.00152590218966964,0.00152590218966964,168.006167166591,180.30480056671,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,8e-05,0.075,0.00152590218966964,0.00152590218966964,252.009250749887,180.30480056671,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,8e-05,0.1,0.00152590218966964,0.00152590218966964,336.012334333183,180.30480056671,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
V1,wide_range_vT,native_16bit_slow,16,13.5,1100000,high_load,9e-05,0.05,0.00152590218966964,0.00152590218966964,168.006167166591,160.270933837076,1.63299316185545,CANDIDATE_GE16,CANDIDATE_GE16,100,100,39.8106183400511,0
