path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,operating_case,Vin_V,D,load,C_true_F,ESR_true_Ohm,I_sum_A,edge_ESR_signal_mV,charge_C_signal_mV,current_full_scale_A,multi_cycle,calibration_level,locked_guard_us,locked_window_us,locked_points_per_side,sampling_geometry_feasible,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,C_bias_percent,ESR_bias_percent,NEES,CI_C_95_coverage,CI_ESR_95_coverage,convergence_cycles,accepted_edge_updates,accuracy_pass
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,9e-05,0.075,0.638869242255188,47.9151931691391,30.0039690704206,20,1024,Cal3,0.2,1.5,6,1,0.000101989067336874,0.0748097143133226,31.4711275252598,1.51228622450819,13.3211859298604,-0.253714248903225,166.815504958295,0.575,0.675,1024,1023.925,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,9e-05,0.1,0.638869242255188,63.8869242255188,30.0039690704206,20,1024,Cal3,0.2,1.5,6,1,0.000127935562686032,0.0999063067126515,51.2563068829231,1.01311859398738,42.1506252067027,-0.0936932873484952,71.6031797142166,0.55,0.925,1024,1023.675,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,0.0001,0.05,0.638869242255188,31.9434621127594,27.0035721633785,20,1024,Cal3,0.2,1.5,6,1,0.000130988008098103,0.0500497289461103,44.9726898334781,0.946461146892417,30.9880080981027,0.0994578922205891,80.976478342341,0.55,0.95,1024,1023.625,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,0.0001,0.075,0.638869242255188,47.9151931691391,27.0035721633785,20,1024,Cal3,0.2,1.5,6,1,0.000117411010166498,0.0749736022477382,31.0897825366011,1.01615684863069,17.411010166498,-0.0351970030157189,86.0289617662943,0.675,0.8,1024,1023.7,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,low_CCM_margin,24,0.4,low_CCM,0.0001,0.1,0.638869242255188,63.8869242255188,27.0035721633785,20,1024,Cal3,0.2,1.5,6,1,0.000125703761381677,0.10016354924464,40.5133619367881,0.800046687838705,25.7037613816774,0.163549244639616,131.099890811103,0.575,0.925,1024,1023.625,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,8e-05,0.05,2.44849853028756,122.424926514378,130.597606072699,20,1024,Cal3,0.2,1.5,6,1,7.83556344062533e-05,0.0499366928991208,7.72311577268357,0.539412271011308,-2.05545699218337,-0.126614201758479,78.298538684124,0.55,1,146,1023.475,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,8e-05,0.075,2.44849853028756,183.637389771567,130.597606072699,20,1024,Cal3,0.2,1.5,6,1,7.87799211062059e-05,0.0749260788040972,4.03028722226751,0.359855725566389,-1.52509861724265,-0.0985615945371054,40.8288334888529,0.75,1,146,1023.65,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,8e-05,0.1,2.44849853028756,244.849853028756,130.597606072699,20,1024,Cal3,0.2,1.5,6,1,8.19768458893802e-05,0.0999446280142347,7.87218158275156,0.464232320868179,2.47105736172528,-0.0553719857653401,101.453328327368,0.7,1,146,1023.6,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,9e-05,0.05,2.44849853028756,122.424926514378,116.08676095351,20,1024,Cal3,0.2,1.5,6,1,9.07595605372336e-05,0.0499767163733669,6.19331782352753,0.436938539973464,0.843956152481828,-0.0465672532661721,73.0056152060115,0.775,1,184,1023.65,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,9e-05,0.075,2.44849853028756,183.637389771567,116.08676095351,20,1024,Cal3,0.2,1.5,6,1,9.5306757945858e-05,0.0749914136796474,9.80054149162773,0.37219996895859,5.89639771761994,-0.0114484271368176,118.513775068345,0.675,1,184,1023.725,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,9e-05,0.1,2.44849853028756,244.849853028756,116.08676095351,20,1024,Cal3,0.2,1.5,6,1,9.58520491873852e-05,0.0999440576407768,10.973862384201,0.374141232908332,6.50227687487239,-0.0559423592232045,131.464723932483,0.6,1,184,1023.525,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.05,2.44849853028756,122.424926514378,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,0.000105963171732506,0.0499646660484433,10.2191591035332,0.549174656437494,5.96317173250631,-0.0706679031133861,120.110097866053,0.725,1,227,1023.45,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.075,2.44849853028756,183.637389771567,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,0.000103374753406385,0.0750178371728358,8.9393078209386,0.364359954779119,3.374753406385,0.0237828971143994,108.145694913044,0.725,1,227,1023.725,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,nominal,24,0.4,nominal,0.0001,0.1,2.44849853028756,244.849853028756,104.478084858159,20,1024,Cal3,0.2,1.5,6,1,9.88530215627335e-05,0.100088989381135,9.15165244798345,0.442527687990139,-1.14697843726654,0.088989381134974,104.2194311259,0.625,1,227,1023.55,0
native_12_V2,native_12bit_highspeed,V2,12,10.5,4000000,high_load,24,0.4,high,8e-05,0.05,5.12721956715012,256.360978357506,275.127489992692,20,1024,Cal3,0.2,1.5,6,1,7.91704972752152e-05,0.0499870575365422,4.41004339802262,0.342732882924753,-1.03687840598106,-0.0258849269156314,36.1658549160735,0.65,1,33,1023.65,0
