fs_adc_Hz,adc_bits,afe_order,afe_fc_v_Hz,afe_fc_i_Hz,phase_accuracy_pass_fraction,phase_robust_alias_pass_fraction,worst_C_MAPE_percent,worst_ESR_MAPE_percent,worst_alias_ratio_dB,minimum_points_per_side
1600000,14,1,250000,1000000,0,0,16.8530925793448,46.2914243370589,-37.4831195261177,3
1600000,14,1,250000,2000000,0,0,18.1408680643671,46.1256954755137,-37.4831195261177,3
1600000,14,1,500000,250000,0,0,13.1767641737414,17.3882884770675,-32.4080374934756,3
1600000,14,1,500000,500000,0,0,13.7885332196294,17.069238837607,-32.4080374934756,3
1600000,14,1,500000,1000000,0,0,14.2693580893107,16.9302046044446,-32.4080374934756,3
1600000,14,1,500000,2000000,0,0,13.0968189000789,15.8705436754188,-32.4080374934756,3
1600000,14,1,1000000,250000,1,1,1.40234684703739,2.66805209489451,-28.2238938179694,3
1600000,14,1,1000000,500000,1,1,0.863819857595183,2.14788025399969,-28.2238938179694,3
1600000,14,1,1000000,1000000,1,1,0.17195310692264,2.45659385674392,-28.2238938179694,3
1600000,14,1,1000000,2000000,1,1,0.272145204316732,2.53505173060746,-28.2238938179694,3
1600000,14,1,1500000,250000,1,1,2.12166040715003,0.73228768778153,-26.467838122614,3
1600000,14,1,1500000,500000,1,1,1.95696453675596,0.166053062139238,-26.467838122614,3
1600000,14,1,1500000,1000000,1,1,2.28248414100862,1.36471356328489,-26.467838122614,3
1600000,14,1,1500000,2000000,1,1,1.54279033767577,1.19374563172137,-26.467838122614,3
1600000,14,1,2000000,250000,1,1,2.81449533305647,0.442932916908201,-25.522546980631,3
1600000,14,1,2000000,500000,1,1,0.978612415264246,1.54100437584661,-25.522546980631,3
1600000,14,1,2000000,1000000,1,1,1.23214846548096,1.07866683896514,-25.522546980631,3
1600000,14,1,2000000,2000000,1,1,1.11600861263712,1.92925305277323,-25.522546980631,3
1600000,14,1,3000000,250000,1,1,2.81997477766076,1.25684645650421,-24.5319855256996,3
1600000,14,1,3000000,500000,1,1,1.85670433404819,1.87017769406153,-24.5319855256996,3
1600000,14,1,3000000,1000000,1,1,1.65639960305308,2.12365891583717,-24.5319855256996,3
