operating_case,Vin_V,D,Rload_Ohm,ESL_nH,jitter_rms_ns,absolute_voltage_delay_ns,seed_count,pass_probability,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,NEES_param_mean,CI_C_95_coverage,CI_ESR_95_coverage,meets_95_percent_boundary
high_D_CCM,24,0.6,7.5,1,50,50,20,1,0.506824081137319,1.00482749465087,0.847420314725456,1.47538995723726,6.81973804453213,0.95,0.45,1
high_D_CCM,24,0.6,7.5,1,50,100,20,1,0.935896262393375,1.83852014827784,1.7251867387592,2.27922627941116,15.201638596911,0.5,0,1
high_D_CCM,24,0.6,7.5,1,50,150,20,0.95,0.95503961408754,4.0472128373139,2.57684971776974,3.59417813742736,30.0342013774346,0.7,0,1
high_D_CCM,24,0.6,7.5,1,50,200,20,1,0.511905300480772,1.32776076935642,3.31744498123912,4.63196278409777,44.9788867114953,0.85,0,1
high_D_CCM,24,0.6,7.5,1,50,250,20,0.5,0.636938336651704,1.29286994946575,3.96240885551352,5.60867775854095,66.1779335928002,0.9,0,0
high_D_CCM,24,0.6,7.5,1,50,300,20,0.5,0.694276669091652,1.44363375432992,4.88852064195232,6.41363656479387,87.4241686380294,0.7,0,0
high_D_CCM,24,0.6,7.5,1,50,400,20,0,0.405049370959108,1.15637445894784,8.06428783013648,9.17849821189558,192.745898312836,0.9,0,0
high_D_CCM,24,0.6,7.5,1,50,500,20,0,0.607633837220846,1.29939885086835,17.0003430115759,26.2385752124782,318.374600349208,0.75,0,0
low_CCM_margin,24,0.4,35,1,0,0,20,0.95,0.866612516499402,2.4154140607671,0.795230850337473,1.59969325850925,0.670758525653398,1,1,1
low_CCM_margin,24,0.4,35,1,0,50,20,1,0.743186131984338,1.88993278732114,1.32248893021881,2.41783411203035,0.901955572883645,1,1,1
low_CCM_margin,24,0.4,35,1,0,100,20,0.9,1.57467620571456,3.67435289523468,2.31121686997956,3.65692462943502,2.14528504017438,1,1,0
low_CCM_margin,24,0.4,35,1,0,150,20,0.55,2.4859823725392,6.13686324129558,3.52392196614745,4.83761114542371,5.31131558924205,0.65,0.85,0
low_CCM_margin,24,0.4,35,1,0,200,20,0.15,5.03712780136577,10.2059049968548,4.68460485028153,6.73235175344451,13.8878205407265,0.5,0.55,0
low_CCM_margin,24,0.4,35,1,0,250,20,0.05,6.83601667924661,14.3175336314233,4.98597654650573,7.75933980254374,23.4633617805926,0.5,0.5,0
low_CCM_margin,24,0.4,35,1,0,300,20,0,7.20534349383008,14.9613589018572,6.01776812269481,8.12129621951535,26.1551994746736,0.5,0.25,0
low_CCM_margin,24,0.4,35,1,0,400,20,0,5.88162168260073,12.1523322849717,11.3357131923635,13.3696692709965,43.3778883971986,0.5,0,0
low_CCM_margin,24,0.4,35,1,0,500,20,0,8.0150260163933,16.6850185037075,22.9170798013549,34.2257615883384,120.998021756318,0.5,0,0
low_CCM_margin,24,0.4,35,1,20,0,20,1,0.809908288818484,2.19281991119309,0.700338460799179,1.34865097414361,0.551524556220586,1,1,1
low_CCM_margin,24,0.4,35,1,20,50,20,1,0.868767382167804,1.80118885117185,1.27934691596186,2.28595825940363,0.889332958530637,1,1,1
low_CCM_margin,24,0.4,35,1,20,100,20,0.85,1.58911540215694,4.21793102668389,2.22670315031494,3.77355658876483,2.3096567357079,0.95,1,0
low_CCM_margin,24,0.4,35,1,20,150,20,0.55,2.44295488576485,5.95825820209187,3.45302391671511,4.95672704832562,5.09909244746666,0.6,0.9,0
low_CCM_margin,24,0.4,35,1,20,200,20,0.2,5.13630326737697,10.6560621306813,4.75139079690356,7.02385593338463,14.1534594100302,0.5,0.6,0
low_CCM_margin,24,0.4,35,1,20,250,20,0.05,6.69278175456808,13.9116106718929,5.05379727839509,7.51519020944638,22.8003905456495,0.5,0.5,0
