cycle,time_s,vT_minus_V,vT_plus_V,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
92,0.0178,40.2082680590536,40.0973791182993,0.110888940754315,0.833934236499607,1.38384457858666,0.0500000000000006,0.05
93,0.01782,40.2033381457931,40.0920397174384,0.111298428354786,0.83823457405454,1.38773399304109,0.0500000000000021,0.05
94,0.01784,40.1986207118937,40.0869087168628,0.111711995030944,0.842653458933157,1.39158644168568,0.0500000000000011,0.05
95,0.01786,40.195772912515,40.0844464234999,0.11132648901517,0.839116778522751,1.38741300178063,0.0500000000000004,0.05
96,0.01788,40.1928423621327,40.0818972701962,0.110945091936451,0.835645440235926,1.3832563984931,0.0499999999999998,0.05
97,0.0179,40.1882102138431,40.07683943278,0.111370781063037,0.840308804642598,1.38710681661816,0.0499999999999998,0.05
98,0.01792,40.1838358848605,40.0720354749781,0.11180040988242,0.845083052782392,1.39092514486608,0.0499999999999984,0.05
99,0.01794,40.1813771855834,40.0699460794942,0.111431106089142,0.841895913880678,1.38672620790218,0.0499999999999998,0.05
100,0.01796,40.1788783987268,40.0678126630561,0.111065735670742,0.838764242733181,1.38255047068177,0.0499999999999976,0.05
101,0.01798,40.1747161089454,40.0632091234648,0.111506985480538,0.843753685414919,1.38638602419592,0.0499999999999984,0.05
102,0.018,40.1708500733992,40.058898091268,0.111951982131167,0.848842358286558,1.39019728433683,0.049999999999999,0.05
103,0.01802,40.1689392981086,40.0573412015075,0.111598096601121,0.845959617180853,1.38600231484166,0.0499999999999979,0.05
104,0.01804,40.1670228150786,40.055774901699,0.111247913379614,0.843118785736391,1.38183948185582,0.0500000000000017,0.05
105,0.01806,40.1651029957114,40.0542012223223,0.110901773389038,0.840320004597001,1.37771546318373,0.0500000000000007,0.05
106,0.01808,40.1615563727474,40.0501942977935,0.111362074953931,0.845625338394169,1.38161616068441,0.0500000000000007,0.05
107,0.0181,40.158336184246,40.0465099771814,0.111826207064603,0.851014955566792,1.38550918572515,0.0500000000000025,0.05
108,0.01812,40.1570960454079,40.0456042786628,0.111491766745061,0.848420030202203,1.38141530469907,0.0499999999999989,0.05
109,0.01814,40.1558743439303,40.0447132808547,0.111161063075663,0.845850728806118,1.37737053270713,0.0500000000000003,0.05
