cycle,time_s,C_OFF_F,C_ON_F,Q_OFF_C,Q_ON_C,C_true_F,ESR_true_Ohm
60,0.01716,9.99999985858178e-05,9.99999980875458e-05,1.28631550611627e-05,1.27544173437178e-05,0.0001,0.05
61,0.01718,9.99999985872205e-05,9.99999980878082e-05,1.27938158295786e-05,1.27197272028883e-05,0.0001,0.05
62,0.0172,9.99999985870588e-05,9.99999980878551e-05,1.26949209834064e-05,1.28635027887488e-05,0.0001,0.05
63,0.01722,9.99999985864765e-05,9.99999980876054e-05,1.27224352341417e-05,1.28940615414066e-05,0.0001,0.05
64,0.01724,9.99999985874318e-05,9.99999980874867e-05,1.27802917445757e-05,1.27459604664038e-05,0.0001,0.05
65,0.01726,9.9999998588833e-05,9.9999998087741e-05,1.27117082638323e-05,1.27123503987952e-05,0.0001,0.05
66,0.01728,9.99999985886158e-05,9.99999980878116e-05,1.26144561395031e-05,1.2857037145008e-05,0.0001,0.05
67,0.0173,9.99999985880343e-05,9.99999980875067e-05,1.26431350254933e-05,1.2888500448288e-05,0.0001,0.05
68,0.01732,9.99999985889117e-05,9.99999980874553e-05,1.27017162510205e-05,1.27412683466626e-05,0.0001,0.05
69,0.01734,9.9999998590251e-05,9.99999980876841e-05,1.26347410472917e-05,1.27083716052424e-05,0.0001,0.05
70,0.01736,9.99999985915985e-05,9.99999980879071e-05,1.25680111711569e-05,1.26758003520189e-05,0.0001,0.05
71,0.01738,9.99999985914005e-05,9.99999980879626e-05,1.24740891294765e-05,1.28209958695485e-05,0.0001,0.05
72,0.0174,9.99999985906596e-05,9.99999980877557e-05,1.25051865365871e-05,1.2853329782968e-05,0.0001,0.05
73,0.01742,9.99999985915279e-05,9.99999980876251e-05,1.25653518486981e-05,1.27073099867565e-05,0.0001,0.05
74,0.01744,9.99999985928262e-05,9.99999980878876e-05,1.25014229419813e-05,1.26751192902106e-05,0.0001,0.05
75,0.01746,9.99999985925006e-05,9.99999980879676e-05,1.24110057298317e-05,1.28205943542978e-05,0.0001,0.05
76,0.01748,9.99999985916811e-05,9.99999980877058e-05,1.24452153767669e-05,1.28531141135989e-05,0.0001,0.05
77,0.0175,9.99999985925311e-05,9.99999980875813e-05,1.25081963991889e-05,1.27072000737897e-05,0.0001,0.05
78,0.01752,9.99999985937804e-05,9.99999980878603e-05,1.24477607916092e-05,1.26750437155339e-05,0.0001,0.05
79,0.01754,9.9999998593333e-05,9.99999980879349e-05,1.23613881971896e-05,1.28204682474221e-05,0.0001,0.05
80,0.01756,9.99999985924279e-05,9.99999980876848e-05,1.23993162262677e-05,1.28528511331208e-05,0.0001,0.05
81,0.01758,9.99999985931896e-05,9.99999980875981e-05,1.2465803277136e-05,1.27067447421106e-05,0.0001,0.05
