jitter_mode,jitter_rms_ns,seed,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_fit_rejection_rate,samples_per_cycle
common,20,31,0.000100508491168585,0.0503514343016575,0.000100003948534733,0.00394853473248968,0.0499145188260579,0.170962347884218,PASS,0,40
common,20,32,9.98673661527725e-05,0.0497885373504792,0.00010000346601852,0.00346601851959338,0.0498400916998119,0.319816600376288,PASS,0,40
common,20,33,9.97066378237909e-05,0.0497864764224876,9.99750490824002e-05,0.0249509175997975,0.0498241450078678,0.351709984264337,PASS,0,40
common,20,34,9.97915452741949e-05,0.0497885532476137,0.000100026836465867,0.0268364658670084,0.049833540682182,0.332918635636059,PASS,0,40
common,20,35,9.97123941034831e-05,0.0497455506104996,0.00010000587446037,0.00587446037023653,0.0498064381929208,0.387123614158336,PASS,0,40
common,20,36,9.95688407021778e-05,0.0497741523041868,9.99920809524566e-05,0.00791904754336992,0.049835629521183,0.328740957634088,PASS,0,40
common,20,37,9.95009313366387e-05,0.0497544763827674,9.99718659884724e-05,0.0281340115275586,0.0498534973905347,0.293005218930609,PASS,0,40
common,20,38,9.9752188143615e-05,0.0497778611852512,0.000100003963978506,0.00396397850579433,0.0498171642739108,0.365671452178329,PASS,0,40
common,20,39,0.000100081564868211,0.0498011358282314,0.000100007794123398,0.00779412339828589,0.0498526728287447,0.294654342510658,PASS,0,40
common,20,40,9.94594468391131e-05,0.0496233058932822,9.99489385750167e-05,0.0510614249832786,0.0498568346877716,0.286330624456888,PASS,0,40
common,20,41,9.97274294852774e-05,0.0498219378681096,9.99536717783678e-05,0.0463282216321526,0.0498497067126626,0.300586574674877,PASS,0,40
common,20,42,0.000100211707307657,0.0497830903159014,9.99881961599214e-05,0.0118038400786391,0.0498279623244023,0.344075351195361,PASS,0,40
common,20,43,0.00010017808585324,0.0497599608108953,9.99786324650687e-05,0.0213675349312603,0.0497943416971658,0.411316605668388,PASS,0,40
common,20,44,9.98177679921263e-05,0.0497813692737564,9.99559590425945e-05,0.0440409574054779,0.0498075269647803,0.384946070439318,PASS,0,40
common,20,45,0.000100339702382339,0.0497739034092962,9.99595505294332e-05,0.0404494705667613,0.0498041047709015,0.391790458196917,PASS,0,40
common,20,46,9.96297355689975e-05,0.049772962092393,9.99871086316041e-05,0.0128913683958731,0.0498115329285159,0.376934142968299,PASS,0,40
common,20,47,0.000100734478973836,0.0497799201940155,9.9978700830684e-05,0.0212991693160358,0.0498029965888052,0.394006822389503,PASS,0,40
