operating_case,Vin_V,D,load_fraction,window_cycles,observation_set,rank_Obs_normalized,max_sv_Obs_normalized,min_sv_Obs_normalized,cond_Obs_normalized,info_min_eig,info_max_eig,info_cond,stable_measurements,C_pseudo_measurements,R_pseudo_measurements,R_V,median_pseudo_R
low_D,19.2,0.25,1,5,stable_only,3,163.920138686239,0.0980950181393397,1671.03428691351,3259.59085197451,9101936722.51286,2792355.58567092,41,10,6,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,5,stable_plus_C,3,163.920138686277,0.127744773934571,1283.18469427356,4520.51918207308,9101936722.51521,2013471.54074924,41,10,6,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,5,stable_plus_R,3,163.920138686241,0.0981291339540887,1670.45333104573,3260.76295288312,9101936722.51293,2791351.85661537,41,10,6,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,5,full_TR,3,163.920138686279,0.127916966270575,1281.45736617572,4523.43473137072,9101936722.51527,2012173.77126986,41,10,6,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,10,stable_only,3,230.400570976792,0.186888189925056,1232.82573965313,11831.3118534279,17981929403.1142,1519859.3043513,81,20,11,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,10,stable_plus_C,3,230.400570976929,0.18688901988854,1232.82026474503,11831.3815439795,17981929403.126,1519850.35190385,81,20,11,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,10,stable_plus_R,3,230.400570976793,0.216866881949489,1062.40551303014,13379.3549737821,17981929403.1143,1344005.70418763,81,20,11,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,10,full_TR,3,230.40057097693,0.216869312618778,1062.39360559942,13379.4592541515,17981929403.1261,1343995.22892126,81,20,11,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,20,stable_only,3,324.830670816592,0.255094989933814,1273.3714248989,22043.118967474,35742361605.0256,1621474.78574904,161,40,21,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,20,stable_plus_C,3,324.830670817271,0.255096852488793,1273.36212755327,22043.3013326198,35742361605.1084,1621461.37122467,161,40,21,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,20,stable_plus_R,3,324.830670816594,0.293454486426145,1106.9201046219,24734.0437520476,35742361605.0258,1445067.45291363,161,40,21,2.95209829359236e-06,5.32968473248614e-06
low_D,19.2,0.25,1,20,full_TR,3,324.830670817273,0.293456266962182,1106.91338842368,24734.2327549839,35742361605.1085,1445056.4106504,161,40,21,2.95209829359236e-06,5.32968473248614e-06
