test_id,fs_adc_Hz,adc_interval_s,adc_bits,sample_phase,window_requested_us,window_actual_us,points_available_pre,points_available_post,sampling_geometry_feasible,afe_order,afe_fc_v_Hz,afe_fc_i1_Hz,afe_fc_i2_Hz,attenuation_v_at_fsw_dB,group_delay_v_at_fsw_s,group_delay_v_edge_band_s,attenuation_i_at_fsw_dB,group_delay_i_at_fsw_s,group_delay_i_edge_band_s,alias_ratio_dB,C_MAPE_percent,ESR_MAPE_percent,NIS_V_mean,NIS_C_mean,NIS_R_mean,edge_predicted_variance_V2,voltage_saturation_fraction,current_saturation_fraction,accuracy_geometry_pass,robust_alias_pass,perturbation
654,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,2000000,2000000,2000000,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-0.00271349263374914,7.95277666910522e-08,7.83532027490969e-08,-25.522546980631,1.11600861263712,0.621781875340099,0.316845897795279,1.02812342033809,0.797391699854592,1.56274307834726e-05,0,0,1,1,nominal_fsw
655,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,2000000,2000000,2000000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-25.3995343513497,0.384847365545893,0.144772997076348,0.348642836989919,1.07832533300633,0.725061540010036,1.81630073013078e-05,0,0,1,1,nominal_fsw
656,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,2000000,2000000,2000000,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-1.69646248855021e-06,1.12609832744504e-07,1.14270071863055e-07,-25.3995343513497,0.668258940501221,0.397424386262513,0.323717801115888,0.926622188838257,0.782227809418828,1.44890086734632e-05,0,0,1,1,nominal_fsw
657,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,3000000,250000,250000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-24.5319855256996,2.81997477766076,1.25684645650421,0.30307824131474,1.22055758040388,0.968472298545477,1.44890086733958e-05,0,0,1,1,nominal_fsw
658,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,3000000,250000,250000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.170333392987803,6.12134396241429e-07,3.18309886714201e-07,-24.5319855256996,2.24532068595156,0.825904111046172,0.301230585965622,1.05374906584328,0.826252852316716,1.42302763756755e-05,0,0,1,1,nominal_fsw
659,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,3000000,250000,250000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-24.3948688827791,3.60117588403472,0.174660299929319,0.290958045411007,1.20633844260269,0.996369539606877,1.44890086734431e-05,0,0,0,0,nominal_fsw
660,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,3000000,250000,250000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-0.00694315866354403,9.34833235980618e-07,9.00316314657189e-07,-24.3948688827791,3.40964549258194,0.223163055716946,0.283569064250654,1.12469680641748,1.05204483247052,1.39715440779461e-05,0,0,0,0,nominal_fsw
661,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,3000000,500000,500000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-24.5319855256996,1.37470772269737,1.87017769406153,0.318149522984325,1.08231889736694,0.889809991276207,1.67658528935126e-05,0,0,1,1,nominal_fsw
662,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,3000000,500000,500000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.0432137378264256,3.1515830311229e-07,2.54647908913008e-07,-24.5319855256996,1.85670433404819,1.46224853180996,0.328857400266619,0.96692824291663,0.854038958886269,1.44890086734435e-05,0,0,1,1,nominal_fsw
663,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,3000000,500000,500000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-24.3948688827791,1.02197718487709,1.63949224409861,0.333914745759175,1.05806156370092,0.776406769615156,1.39715440779308e-05,0,0,1,1,nominal_fsw
664,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,2,3000000,500000,500000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-0.000434272768624432,4.5461427828784e-07,5.29597832694518e-07,-24.3948688827791,1.88673055361528,1.43638866215692,0.313390258724127,1.08752443713713,0.974852639816289,1.42302763756698e-05,0,0,1,1,nominal_fsw
665,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,1,3000000,1000000,1000000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-24.5319855256996,1.2025166579031,2.12365891583717,0.320662176980731,1.0432934393379,0.985436374217972,1.39715440779451e-05,0,0,1,1,nominal_fsw
666,1600000,6.25e-07,14,0.67,2,1.875,3,3,1,1,3000000,1000000,1000000,-0.00120620603998196,5.30369152206258e-08,5.26857742637191e-08,-0.0108438129222004,1.58758047966712e-07,1.49792887593424e-07,-24.5319855256996,1.65639960305308,1.95540774995928,0.329507356212947,0.98445715153285,0.815357318982539,1.39715440779489e-05,0,0,1,1,nominal_fsw
667,1600000,6.25e-07,14,0.13,2,1.875,3,3,1,2,3000000,1000000,1000000,-3.35103753839414e-07,7.50471945447958e-08,7.55437329481472e-08,-2.71433202967853e-05,2.25640366491931e-07,2.38215990294049e-07,-24.3948688827791,0.7561884787745,1.77935480543847,0.354169575673065,1.00365934358639,0.840397919069362,8.38292644677998e-06,0,0,1,1,nominal_fsw
