scenario,seed,C_est_F,ESR_est_Ohm,C_MAPE_percent,ESR_MAPE_percent,sigma_C_F,sigma_ESR_Ohm,NEES_full,NEES_param,CI_C_contains_true,CI_ESR_contains_true,accuracy_pass
high_D,31,9.99793924346911e-05,0.0499775603755771,0.0206075653089499,0.0448792488457195,3.26910724134876e-07,0.000120987971406312,8.692531231209,0.856026431626436,1,1,1
high_D,32,0.000100049550933326,0.0500055052471436,0.0495509333259703,0.0110104942872224,3.28044168684383e-07,0.000120928971783717,8.58895852272649,0.765043553250383,1,1,1
high_D,33,9.99510646094571e-05,0.0500109285639789,0.0489353905428591,0.0218571279577251,3.26725211883904e-07,0.000120898030868139,7.81944650206325,0.141357710456683,1,1,1
high_D,34,9.9985492545961e-05,0.0500174515559978,0.0145074540390144,0.0349031119956544,3.27920740191861e-07,0.000121486748972654,9.56496898523307,1.11568850328882,1,1,1
high_D,35,9.98740257307702e-05,0.0500207995660393,0.125974269229834,0.0415991320785736,3.26222035161266e-07,0.00012102801186046,8.73438161061795,0.494420899809581,1,1,1
high_D,36,9.98635003661087e-05,0.0500163750374252,0.136499633891296,0.0327500748504628,3.27150121172047e-07,0.00012158077369073,8.46621900719845,0.089569692283343,1,1,1
high_D,37,9.99875383472495e-05,0.0499833909959878,0.0124616527504728,0.0332180080243272,3.26964728096396e-07,0.000121175452965788,8.1552349589105,0.167473028862352,1,1,1
high_D,38,9.9941457198073e-05,0.0500098670450513,0.0585428019269751,0.0197340901025633,3.27630157024456e-07,0.000120993730757931,8.19300306011025,0.0118701700466144,1,1,1
high_D,39,9.995708393814e-05,0.0500098255228852,0.0429160618600322,0.0196510457703747,3.26761625057347e-07,0.00012164627955544,8.09719501359984,0.349402912584368,1,1,1
high_D,40,9.98623073146509e-05,0.0499879819734093,0.137692685349133,0.0240360531813644,3.26141993118585e-07,0.000121383730303035,8.87385139487419,0.889276529718678,1,1,1
high_D,41,9.99389513632115e-05,0.0499944424603138,0.0610486367885521,0.0111150793724812,3.26649747376782e-07,0.000121878245333248,8.49103644054263,0.433197254833562,1,1,1
high_D,42,9.97953525075767e-05,0.0499895113982171,0.204647492423338,0.0209772035657974,3.25704793687161e-07,0.000120879634488363,8.42246492946726,0.317176516455804,1,1,1
high_D,43,9.99170873893596e-05,0.0499770723289107,0.0829126106404066,0.0458553421786245,3.26503233120062e-07,0.000121142600263089,8.15715327834372,0.355753414190055,1,1,1
high_D,44,9.99869021825926e-05,0.0500017959121994,0.0130978174074148,0.00359182439888528,3.2695824024132e-07,0.000120926712299572,8.23910349777327,0.126856864196622,1,1,1
high_D,45,9.98978355801647e-05,0.049999091857674,0.102164419835293,0.00181628465195649,3.2734579617521e-07,0.000121089866858281,8.12012559656354,0.186134073500348,1,1,1
high_D,46,9.9961489750988e-05,0.0499993158807252,0.0385102490120026,0.00136823854957058,3.26794629861449e-07,0.00012095545523849,8.7094681178679,0.637791991272544,1,1,1
high_D,47,9.99427113488977e-05,0.0499860747995566,0.0572886511022941,0.0278504008867753,3.26666932385066e-07,0.000120321115799923,8.5217399237287,0.374207376416228,1,1,1
high_D,48,9.97875248163175e-05,0.0500022057151345,0.212475183682526,0.00441143026894686,3.27752279990676e-07,0.000121201383128688,7.97659603556153,0.204441766440054,1,1,1
high_D,49,9.99496030816078e-05,0.0499753027370334,0.0503969183922259,0.0493945259331663,3.26711632347555e-07,0.000120571482117452,8.05248815072948,0.194912713859979,1,1,1
high_D,50,0.000100026037999557,0.0500105181236463,0.0260379995573379,0.0210362472926828,3.27214460658546e-07,0.000121016821803373,8.57165011793619,0.235017766701396,1,1,1
high_D,51,9.98659076582528e-05,0.0500222132686772,0.134092341747227,0.0444265373544583,3.26168872803685e-07,0.000121177904077456,8.47551714390157,0.460906227101604,1,1,1
high_D,52,9.999064182475e-05,0.0500006816236484,0.00935817524996274,0.00136324729678172,3.26985119715422e-07,0.000121144969748704,8.31452179676083,0.0162351254921645,1,1,1
high_D,53,9.98976767192003e-05,0.0499998429239469,0.102323280799665,0.00031415210617336,3.26376099654312e-07,0.000120997529533862,7.90989905166528,0.123748826966434,1,1,1
high_D,54,9.99258209346697e-05,0.0499821203096297,0.0741790653303265,0.0357593807405965,3.26558048481734e-07,0.000121152492930914,7.86999636314546,0.0183485729814509,1,1,1
high_D,55,9.9925717003796e-05,0.0500087598482053,0.0742829962040448,0.0175196964105284,3.2655804724013e-07,0.000120709042674394,7.87492901833345,0.262046740932919,1,1,1
high_D,56,9.99349219179114e-05,0.0499934978274489,0.0650780820886099,0.0130043451021411,3.27613818172506e-07,0.000120559982490373,8.29470531308867,0.269591406347893,1,1,1
high_D,57,9.98844299665035e-05,0.0500012698910627,0.11557003349647,0.00253978212538808,3.26289712605466e-07,0.00012149904945724,8.49065623152044,0.471801047831198,1,1,1
high_D,58,0.00010003919088327,0.0500351116214904,0.0391908832702237,0.0702232429807603,3.28301775082817e-07,0.0001217578732139,8.15273532769359,0.162338164107315,1,1,1
high_D,59,9.98986943006934e-05,0.0500175251429193,0.101305699306653,0.0350502858386337,3.27054044135646e-07,0.000121114683939565,8.02199575453152,0.109163206082776,1,1,1
high_D,60,9.99478924329451e-05,0.0499700372803131,0.0521075670548821,0.0599254393737869,3.2670352754879e-07,0.000121183281038269,8.2495122240152,0.0776760751383908,1,1,1
high_D,61,9.99534556398891e-05,0.0500034522702924,0.0465443601109228,0.00690454058482892,3.26739989373434e-07,0.000121130124516974,8.98650677552398,1.1618598725722,1,1,1
high_D,62,9.99334475191154e-05,0.0500181751067792,0.0665524808846407,0.0363502135584337,3.26608956281918e-07,0.000121026540761855,8.11906954563903,0.0724449951155383,1,1,1
high_D,63,9.99461535062377e-05,0.0500061496507908,0.0538464937622551,0.0122993015816641,3.26693458254123e-07,0.000120320554650246,8.77965647518049,0.530971784530312,1,1,1
high_D,64,0.000100046152579231,0.0500239096736308,0.0461525792311512,0.0478193472615018,3.28316074522872e-07,0.000120457962342032,8.24346806725368,0.27039622781124,1,1,1
high_D,65,9.99221056558682e-05,0.0499944121452543,0.0778943441318125,0.0111757094913512,3.26536787632509e-07,0.000121234015175138,8.72988752942127,0.781874257726837,1,1,1
high_D,66,0.000100104661179603,0.0500073036637069,0.104661179602883,0.0146073274138514,3.29790319138673e-07,0.000121027569628621,8.80552641489038,0.341001635989682,1,1,1
high_D,67,9.98936854430537e-05,0.0499927980114407,0.106314556946285,0.0144039771185489,3.27341960651547e-07,0.000121350158827437,8.88891497176782,1.11677304274183,1,1,1
high_D,68,9.98727531078908e-05,0.0499752942184733,0.127246892109178,0.0494115630533809,3.262130127617e-07,0.000121184269560301,8.01686982133928,0.197484166901659,1,1,1
high_D,69,0.000100063330168654,0.0500070169449572,0.0633301686536303,0.0140338899143666,3.2843036907787e-07,0.000121868476933521,8.79952416880343,0.650681621387324,1,1,1
high_D,70,9.9914668557563e-05,0.0500051992233764,0.0853314424369533,0.0103984467528129,3.28581251802604e-07,0.000121310438254408,7.76584117131649,0.0240731037961251,1,1,1
high_D,71,9.99405853905758e-05,0.0499779401464273,0.0594146094241799,0.0441197071454735,3.26652632586107e-07,0.000120318136634123,8.17112345747555,0.0353420757530266,1,1,1
high_D,72,0.000100026078352206,0.0499943770894542,0.0260783522057384,0.0112458210915767,3.28212968629302e-07,0.000120951224675231,7.80526222996456,0.017121908790447,1,1,1
high_D,73,0.00010002416694471,0.0500163748235544,0.0241669447098136,0.0327496471087318,3.28202394934241e-07,0.000121200884330008,7.90232935267223,0.0595412172396354,1,1,1
high_D,74,0.000100018707302253,0.0500459479447083,0.018707302252996,0.0918958894166266,3.27167640426559e-07,0.000121586633333499,7.8451851200224,0.0632693655596372,1,1,1
high_D,75,9.99792168829933e-05,0.0499987680450632,0.0207831170066952,0.00246390987365119,3.27824069498155e-07,0.000121596444792797,8.06552998368779,0.274536625623487,1,1,1
