cycle,time_s,C_OFF_F,C_ON_F,C_true_F,ESR_true_Ohm
109,0.00816,0.000100001512704568,9.99996875829374e-05,0.0001,0.05
110,0.00817999999999993,0.000100001516402054,9.99978557922748e-05,0.0001,0.05
111,0.00819999999999981,0.00010000032201958,9.99978813724702e-05,0.0001,0.05
112,0.00822,0.00010000152394887,9.99978549448907e-05,0.0001,0.05
113,0.00823999999999988,0.000100001519942546,9.99978544004405e-05,0.0001,0.05
114,0.00826,0.000100001531641527,9.99996872330905e-05,0.0001,0.05
115,0.00827999999999993,0.000100001535521355,9.99978530458149e-05,0.0001,0.05
116,0.00829999999999981,0.00010000032608281,9.99978782345332e-05,0.0001,0.05
117,0.00832,0.000100001543306483,9.99978513062675e-05,0.0001,0.05
118,0.00833999999999988,0.000100001539285247,9.99978502813241e-05,0.0001,0.05
119,0.00836,0.000100001551072066,9.9999686547774e-05,0.0001,0.05
120,0.00837999999999993,0.000100001554927906,9.99978479008849e-05,0.0001,0.05
121,0.00839999999999981,0.000100000330170784,9.99978726230305e-05,0.0001,0.05
122,0.00842,0.000100001562548818,9.99978450557707e-05,0.0001,0.05
123,0.00843999999999988,0.000100001558319791,9.99978434511891e-05,0.0001,0.05
124,0.00846,0.000100001570003251,9.99996854519124e-05,0.0001,0.05
125,0.00847999999999993,0.00010000157365195,9.99978398647759e-05,0.0001,0.05
126,0.00849999999999981,0.000100000334083365,9.99978640808285e-05,0.0001,0.05
127,0.00852,0.000100001580763863,9.99978357622006e-05,0.0001,0.05
128,0.00853999999999988,0.000100001576171797,9.99978335139622e-05,0.0001,0.05
129,0.00856,0.000100001587595741,9.99996838930076e-05,0.0001,0.05
130,0.00857999999999993,0.000100001590895719,9.99978286202415e-05,0.0001,0.05
131,0.00859999999999981,0.000100000337660053,9.9997852337979e-05,0.0001,0.05
132,0.00862,0.000100001597246888,9.99978231975654e-05,0.0001,0.05
133,0.00863999999999988,0.000100001592189809,9.99978202899565e-05,0.0001,0.05
134,0.00866,0.000100001603249354,9.99996818561952e-05,0.0001,0.05
135,0.00867999999999993,0.000100001606115063,9.99978140905649e-05,0.0001,0.05
136,0.00869999999999981,0.00010000034079629,9.99978373725745e-05,0.0001,0.05
137,0.00872,0.000100001611571332,9.99978073957697e-05,0.0001,0.05
138,0.00873999999999988,0.000100001606009264,9.99978038708762e-05,0.0001,0.05
139,0.00876,0.000100001616660563,9.99996793614798e-05,0.0001,0.05
140,0.00877999999999993,0.000100001619069081,9.99977964871914e-05,0.0001,0.05
141,0.00879999999999981,0.000100000343452353,9.99978194541199e-05,0.0001,0.05
142,0.00882,0.000100001623621749,9.9997788692035e-05,0.0001,0.05
143,0.00883999999999988,0.000100001617576935,9.99977846548509e-05,0.0001,0.05
