cycle,time_s,delta_v_edge_V,i1_A,i2_A,ESR_edge_Ohm,ESR_true_Ohm
170,0.00937999999999993,0.107679944227989,0.832260081865211,1.33790843160397,0.0496182409613226,0.05
171,0.00939999999999981,0.107557301597488,0.831441734740924,1.3362576083353,0.0496181824942807,0.05
172,0.00942,0.107635004467248,0.829685808583978,1.33473451253797,0.0497292524085407,0.05
173,0.00943999999999988,0.107330599050691,0.829790816939006,1.33334154756886,0.0496181374805096,0.05
174,0.00946,0.107893245645869,0.825741088882166,1.33208066872347,0.0500009999739687,0.05
175,0.00947999999999993,0.107129268619325,0.828118747578393,1.33095364742312,0.0496181919917741,0.05
176,0.00949999999999981,0.107038307915076,0.827275077675117,1.32996126624976,0.0496182572746435,0.05
177,0.00952,0.107146873391621,0.825493980808968,1.32910439959666,0.0497293947521898,0.05
178,0.00953999999999988,0.106876129304865,0.825575462081923,1.32838338241499,0.0496184639636547,0.05
179,0.00956,0.107467301099746,0.82150494445283,1.32779809260037,0.0500009999739676,0.05
180,0.00957999999999993,0.106740620360412,0.823866313482795,1.32734822395202,0.0496187704680044,0.05
181,0.00959999999999981,0.106682962749595,0.823011827432933,1.32703249162338,0.0496189598530786,0.05
182,0.00962,0.106823804663705,0.82122683336137,1.32684971880455,0.049729980319367,0.05
183,0.00963999999999988,0.106587985458468,0.821312612437809,1.32679821596644,0.0496194069919792,0.05
184,0.00966,0.107208738882342,0.817256025000277,1.32687587112472,0.0500009999739736,0.05
185,0.00967999999999993,0.106520218435683,0.819641667259972,1.32708043114841,0.0496199384702192,0.05
186,0.00969999999999981,0.106496539885988,0.818823458823961,1.32740871535813,0.04962023268828,0.05
187,0.00972,0.106670188608781,0.817087821228471,1.32785770981163,0.0497309544998357,0.05
188,0.00973999999999988,0.106469548948986,0.817236680309709,1.32842395402693,0.0496208707216661,0.05
189,0.00976,0.107120272788897,0.813258970986847,1.32910363865409,0.0500009999739731,0.05
190,0.00977999999999993,0.10646955818136,0.815737955489716,1.32989289373315,0.0496215638491226,0.05
191,0.00979999999999981,0.106479597227597,0.815030471881138,1.3307870073774,0.0496219264950671,0.05
192,0.00982,0.106685754684641,0.813423296555021,1.33178152814671,0.049732199674441,0.05
193,0.00983999999999988,0.106519520452252,0.813718029896566,1.33287165553063,0.0496226741306893,0.05
194,0.00986,0.107200087872499,0.809906535715693,1.33405234367254,0.0500009999739771,0.05
195,0.00987999999999993,0.106585514840638,0.812567958691573,1.33531859437904,0.0496234378339323,0.05
196,0.00989999999999981,0.106628112235178,0.81206372625354,1.33666467733074,0.0496238203289502,0.05
197,0.00992,0.10686572550091,0.810679990365572,1.33808524000885,0.0497335511531377,0.05
198,0.00993999999999988,0.106732117481286,0.811216840845069,1.33957469788003,0.0496245756781024,0.05
199,0.00996,0.107442017254485,0.807670028123504,1.34112734213689,0.050000999973983,0.05
200,0.00997999999999993,0.106860600724083,0.810611419737104,1.34273763473769,0.0496253036645498,0.05
