case_id,noise_profile,skew_ns,seed,observation,estimator,cell_id,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,divergence_flag,projection_saturation,projection_activations,invalid_updates,timing_failure,nis_mean,nees_parameter,CI_C_contains_true,CI_ESR_contains_true,mu_C,mu_R
PV1-021,F28379D_device_realistic,50,44021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,7.99433556937116e-05,0.0490187152211733,0.0708053828604838,1.96256955765347,-0.0708053828604838,-1.96256955765347,4.57743113222108e-14,5.31228832331394e-07,10,0,0,0,0,0,0.911669449886953,1.88262353801078,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,50,44021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.26918254001398e-05,0.0507545941316608,9.13521824982525,1.50918826332156,-9.13521824982525,1.50918826332156,3.34987168785543e-14,3.66305509201072e-07,1024,0,0,0,0,0,0.202231137342411,1327.70809822136,0,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,50,44021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,7.99345612477886e-05,0.049899563696061,0.0817984402642913,0.200872607877933,-0.0817984402642913,-0.200872607877933,4.53903931440707e-14,1.64224451085834e-07,10,0,0,0,2,0,1.09642648578542,0.155612720823586,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.04548921704285e-05,0.0513764550946821,11.9313847869644,2.75291018936425,-11.9313847869644,2.75291018936425,7.67475817645729e-14,8.16546434437843e-08,1024,0,1,1,0,0,NaN,1090.92441112293,0,0,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.0190758525861e-05,0.0502632079480613,0.238448157326276,0.526415896122501,0.238448157326276,0.526415896122501,1.20312158694956e-13,1.52730420954515e-08,18,0,0,0,0,0,NaN,4.83989123485681,1,0,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.04301823955916e-05,0.0513430629409522,11.9622720055105,2.68612588190436,-11.9622720055105,2.68612588190436,3.03598215713021e-14,1.11278377459958e-06,1024,0,0,0,0,0,0.206626021152759,2340.5430920869,0,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,8.00918496534371e-05,0.0486732945375588,0.114812066796421,2.65341092488244,0.114812066796421,-2.65341092488244,4.61153613451282e-14,5.31228832331394e-07,162,0,0,0,0,0,2.20640873480039,3.49671125940283,1,1,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O0 Mixed,E3 LTV/Joseph,O0-E3,8e-05,0.05,7.04216894673419e-05,0.0513702351519073,11.9728881658226,2.74047030381461,-11.9728881658226,2.74047030381461,2.9506087963806e-14,3.66305509201072e-07,1024,0,0,0,0,0,0.209059267563345,2435.6820367341,0,0,95703.5244454401,181517227.108026
PV1-021,F28379D_device_realistic,100,54021,O1 Proposed,E3 LTV/Joseph,O1-E3,8e-05,0.05,8.00959762000078e-05,0.0514569435346417,0.11997025000976,2.91388706928333,0.11997025000976,2.91388706928333,4.57581394862999e-14,1.84697115435331e-07,234,0,0,0,132,0,3.19343504199139,11.6945764649562,1,0,95703.5244454401,181517227.108026
PV1-021,nominal,0,21021,O0 Mixed,E1 RLS,O0-E1,8e-05,0.05,7.53056842138712e-05,0.0506252562894047,5.86789473266099,1.25051257880946,-5.86789473266099,1.25051257880946,2.06953540132154e-14,1.68702931257492e-08,1024,0,0,0,0,0,NaN,1116.20254762361,0,0,463205.05831593,878595549.102548
PV1-021,nominal,0,21021,O1 Proposed,E1 RLS,O1-E1,8e-05,0.05,8.00539722518349e-05,0.0500108059004543,0.06746531479358,0.0216118009085831,0.06746531479358,0.0216118009085831,2.46887110972422e-14,3.15539983500364e-09,2,0,0,0,0,0,NaN,0.155154173145636,1,1,463205.05831593,878595549.102548
PV1-021,nominal,0,21021,O0 Mixed,E2 Dual EKF,O0-E2,8e-05,0.05,7.53626647890119e-05,0.0506128170216993,5.79666901373519,1.22563404339857,-5.79666901373519,1.22563404339857,9.86893783997344e-15,4.68740388620103e-07,1024,0,0,0,0,0,0.192201203990874,1933.90645245567,0,1,463205.05831593,878595549.102548
PV1-021,nominal,0,21021,O1 Proposed,E2 Dual EKF,O1-E2,8e-05,0.05,8.00877796087189e-05,0.050008774689148,0.10972451089859,0.0175493782959446,0.10972451089859,0.0175493782959446,9.826096538418e-15,2.2879325430635e-07,3,0,0,0,0,0,0.413694234354914,0.786221142838251,1,1,463205.05831593,878595549.102548
