path_id,ADC_mode,voltage_architecture,nominal_bits,ENOB,fs_adc_Hz,multi_cycle,quantization_case,calibration_level,fusion_method,C_est_F,ESR_est_Ohm,C_MAPE_percent,C_MAPE_p95_percent,ESR_MAPE_percent,ESR_MAPE_p95_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,NIS_C_mean,NIS_R_mean,NEES_mean,CI_C_95_coverage,CI_ESR_95_coverage,accuracy_pass,confidence_pass
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q1_deterministic,Cal3,TS_SLTVKE_sequential,0.000100007768966872,0.0499895677580136,0.975363543923176,3.89316125593251,0.238668124581376,0.661679485257336,0.00776896687237905,-0.0208644839727157,2.15931091553817e-12,2.33380511541618e-08,0,0,0.553419176585397,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q1_deterministic,Cal3,weighted_batch_average,0.000100137788044887,0.0499988684875849,0.851310119009453,3.79622157145578,0.205130845336194,0.455677478252441,0.137788044887244,-0.00226302483025131,1.61678821423689e-12,1.61772207321518e-08,0,0,0.412948414124536,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q1_deterministic,Cal3,robust_trimmed_mean,0.000100401075150931,0.0499955252191749,0.640564419267699,0.708908768099026,0.195814881250295,0.507381477256794,0.401075150930752,-0.00894956165016225,5.89821581031716e-13,1.45491989935626e-08,0,0,0.20495655762486,1,1,1,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q2_2mV,Cal3,TS_SLTVKE_sequential,0.000100044623125816,0.0494478060425208,7.58185641056259,16.381428538671,3.82909390883176,9.0697322620539,0.0446231258164564,-1.10438791495836,8.27992005987352e-11,5.25956984467988e-06,0.921537770653259,0.810291998220367,2.71648887879233,0.90625,0.96875,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q2_2mV,Cal3,weighted_batch_average,0.00010274248911738,0.0503295335823014,6.44456043142725,13.2779546439725,3.3148275898912,7.19368791044351,2.74248911738018,0.659067164602822,5.08652932806193e-11,3.84303500747336e-06,0.961792150650593,0.774795115949865,1.5951141107262,1,1,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q2_2mV,Cal3,robust_trimmed_mean,0.000100456889439298,0.0495745060434709,6.33066520179682,15.6571390431899,3.15267477607065,8.62835828881745,0.456889439298291,-0.850987913058121,6.33083307275719e-11,4.00612129242204e-06,0.748300171021874,0.719049552114306,1.87300757937502,0.9375,0.96875,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q3_full_nonideal,Cal3,TS_SLTVKE_sequential,0.000102989990037623,0.0499366875716813,8.57839766671615,19.5346007844094,3.89313772638871,8.81686010071775,2.98999003762332,-0.126624856637392,9.43335591611034e-11,5.5574127102059e-06,0.91363066029664,0.85910656173527,2.37247611608839,0.90625,1,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q3_full_nonideal,Cal3,weighted_batch_average,0.000100099116313947,0.0496286252849944,6.75812714419561,18.8611742098837,3.44314298701444,8.90311205426204,0.0991163139466567,-0.742749430011225,7.57153769517526e-11,4.63778613204048e-06,0.75764493780697,0.820757445824959,2.08959977976272,0.90625,1,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,4,Q3_full_nonideal,Cal3,robust_trimmed_mean,0.000102914248215891,0.0496853933102072,7.51327788248237,16.1539102652655,4.23612088382824,11.5867781129042,2.91424821589124,-0.629213379585625,7.31121603891122e-11,7.19140140739983e-06,0.968261604578736,0.732247483091387,2.43338484705101,1,0.90625,0,1
native_16_V2,native_16bit_slow,V2,16,13.5,1100000,16,Q1_deterministic,Cal3,TS_SLTVKE_sequential,9.99898421723496e-05,0.0500010299713055,0.944313482556843,3.83393004706052,0.199141845366785,0.619543496752419,-0.0101578276503811,0.00205994261097686,2.07700557436186e-12,1.71076728628434e-08,0,0,0.517551104640711,1,1,1,1
