edge_guard_us,edge_window_us,edge_points_per_side,valid_edges,ESR_MAPE_percent,ESR_p95_MAPE_percent,edge_fit_rmse_V,edge_fit_variance_V2,latency_us,samples_per_cycle,status,edge_method
0.5,1.5,8,148,0.0968107768124116,0.169261479203842,3.55229121993585e-05,2.30071901169714e-09,2,160,PASS,timestamped_linear
0.5,2,3,148,0.135200424353588,0.225574564549584,6.26214522761167e-05,4.13883025862074e-09,2.5,160,PASS,timestamped_linear
0.5,2,4,148,0.135200424353588,0.225574564549584,6.26214522761167e-05,4.13883025862074e-09,2.5,160,PASS,timestamped_linear
0.5,2,6,148,0.135200424353588,0.225574564549584,6.26214522761167e-05,4.13883025862074e-09,2.5,160,PASS,timestamped_linear
0.5,2,8,148,0.135200424353588,0.225574564549584,6.26214522761167e-05,4.13883025862074e-09,2.5,160,PASS,timestamped_linear
0.5,3,3,148,0.229505603020608,0.354506207031895,0.000139532058074044,1.08974489025107e-08,3.5,160,PASS,timestamped_linear
0.5,3,4,148,0.229505603020608,0.354506207031895,0.000139532058074044,1.08974489025107e-08,3.5,160,PASS,timestamped_linear
0.5,3,6,148,0.229505603020608,0.354506207031895,0.000139532058074044,1.08974489025107e-08,3.5,160,PASS,timestamped_linear
0.5,3,8,148,0.229505603020608,0.354506207031895,0.000139532058074044,1.08974489025107e-08,3.5,160,PASS,timestamped_linear
1,0.5,3,148,0.111652415099667,0.181254907395365,3.96106677660829e-06,9.16755738078684e-10,1.5,160,PASS,timestamped_linear
1,0.5,4,148,0.111652415099667,0.181254907395365,3.96106677660829e-06,9.16755738078684e-10,1.5,160,PASS,timestamped_linear
1,0.5,6,0,NaN,NaN,NaN,NaN,1.5,160,FAIL,timestamped_linear
1,0.5,8,0,NaN,NaN,NaN,NaN,1.5,160,FAIL,timestamped_linear
1,1,3,148,0.150534913929828,0.242321734273393,1.5940291343661e-05,2.19111564941166e-09,2,160,PASS,timestamped_linear
1,1,4,148,0.150534913929828,0.242321734273393,1.5940291343661e-05,2.19111564941166e-09,2,160,PASS,timestamped_linear
1,1,6,148,0.150534913929828,0.242321734273393,1.5940291343661e-05,2.19111564941166e-09,2,160,PASS,timestamped_linear
1,1,8,148,0.150534913929828,0.242321734273393,1.5940291343661e-05,2.19111564941166e-09,2,160,PASS,timestamped_linear
1,1.5,3,148,0.209000562805589,0.30929013548654,3.54976858402555e-05,4.19834172174482e-09,2.5,160,PASS,timestamped_linear
1,1.5,4,148,0.209000562805589,0.30929013548654,3.54976858402555e-05,4.19834172174482e-09,2.5,160,PASS,timestamped_linear
1,1.5,6,148,0.209000562805589,0.30929013548654,3.54976858402555e-05,4.19834172174482e-09,2.5,160,PASS,timestamped_linear
1,1.5,8,148,0.209000562805589,0.30929013548654,3.54976858402555e-05,4.19834172174482e-09,2.5,160,PASS,timestamped_linear
1,2,3,148,0.264162120342892,0.388557949528052,6.26231826160015e-05,6.8962969768017e-09,3,160,PASS,timestamped_linear
1,2,4,148,0.264162120342892,0.388557949528052,6.26231826160015e-05,6.8962969768017e-09,3,160,PASS,timestamped_linear
1,2,6,148,0.264162120342892,0.388557949528052,6.26231826160015e-05,6.8962969768017e-09,3,160,PASS,timestamped_linear
1,2,8,148,0.264162120342892,0.388557949528052,6.26231826160015e-05,6.8962969768017e-09,3,160,PASS,timestamped_linear
1,3,3,148,0.392106323949343,0.554240044098686,0.000139480516118403,1.59715862952617e-08,4,160,PASS,timestamped_linear
1,3,4,148,0.392106323949343,0.554240044098686,0.000139480516118403,1.59715862952617e-08,4,160,PASS,timestamped_linear
1,3,6,148,0.392106323949343,0.554240044098686,0.000139480516118403,1.59715862952617e-08,4,160,PASS,timestamped_linear
1,3,8,148,0.392106323949343,0.554240044098686,0.000139480516118403,1.59715862952617e-08,4,160,PASS,timestamped_linear
1.5,0.5,3,148,0.227644565411628,0.322809044228263,3.9594091737138e-06,1.74968045408886e-09,2,160,PASS,timestamped_linear
1.5,0.5,4,148,0.227644565411628,0.322809044228263,3.9594091737138e-06,1.74968045408886e-09,2,160,PASS,timestamped_linear
1.5,0.5,6,0,NaN,NaN,NaN,NaN,2,160,FAIL,timestamped_linear
1.5,0.5,8,0,NaN,NaN,NaN,NaN,2,160,FAIL,timestamped_linear
1.5,1,3,148,0.293056023185412,0.402066116292338,1.59257006148634e-05,3.77383005022759e-09,2.5,160,PASS,timestamped_linear
1.5,1,4,148,0.293056023185412,0.402066116292338,1.59257006148634e-05,3.77383005022759e-09,2.5,160,PASS,timestamped_linear
1.5,1,6,148,0.293056023185412,0.402066116292338,1.59257006148634e-05,3.77383005022759e-09,2.5,160,PASS,timestamped_linear
1.5,1,8,148,0.293056023185412,0.402066116292338,1.59257006148634e-05,3.77383005022759e-09,2.5,160,PASS,timestamped_linear
1.5,1.5,3,148,0.363611718623624,0.488510822507539,3.54768416787246e-05,6.49938772077389e-09,3,160,PASS,timestamped_linear
1.5,1.5,4,148,0.363611718623624,0.488510822507539,3.54768416787246e-05,6.49938772077389e-09,3,160,PASS,timestamped_linear
1.5,1.5,6,148,0.363611718623624,0.488510822507539,3.54768416787246e-05,6.49938772077389e-09,3,160,PASS,timestamped_linear
1.5,1.5,8,148,0.363611718623624,0.488510822507539,3.54768416787246e-05,6.49938772077389e-09,3,160,PASS,timestamped_linear
1.5,2,3,148,0.440930040967913,0.588592193237161,6.25217185846914e-05,1.04307384309956e-08,3.5,160,PASS,timestamped_linear
1.5,2,4,148,0.440930040967913,0.588592193237161,6.25217185846914e-05,1.04307384309956e-08,3.5,160,PASS,timestamped_linear
1.5,2,6,148,0.440930040967913,0.588592193237161,6.25217185846914e-05,1.04307384309956e-08,3.5,160,PASS,timestamped_linear
1.5,2,8,148,0.440930040967913,0.588592193237161,6.25217185846914e-05,1.04307384309956e-08,3.5,160,PASS,timestamped_linear
1.5,3,3,148,0.614208294751345,0.791777584606799,0.000139502108240444,2.22045721225126e-08,4.5,160,PASS,timestamped_linear
1.5,3,4,148,0.614208294751345,0.791777584606799,0.000139502108240444,2.22045721225126e-08,4.5,160,PASS,timestamped_linear
