test_id,model_type,stress_group,ESL_nH,delay_magnitude_ns,jitter_rms_ns,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,edge_fit_rejection_rate,status
42,Model_A,Stress_1,20,200,20,6.23197667980572e-05,0.0126070585351689,6.30586009970559e-05,36.9413990029441,0.0438339501346137,12.3320997307726,0.114864864864865,FAIL
43,Model_A,Stress_1,20,200,20,7.93527755198721e-05,0.0120774678066974,7.93856480143709e-05,20.6143519856291,0.0429972183041258,14.0055633917484,0.0878378378378378,FAIL
44,Model_A,Stress_1,20,200,20,6.83718232784476e-05,0.0212496278199246,6.86143875689701e-05,31.3856124310299,0.0426765189060587,14.6469621878827,0.121621621621622,FAIL
45,Model_A,Stress_1,20,200,20,8.3266303097935e-05,0.0175771484401093,8.53797075895539e-05,14.6202924104461,0.0341272183511347,31.7455632977306,0.22972972972973,FAIL
46,Model_A,Stress_1,20,200,20,8.84877207808067e-05,0.0146130693339202,9.09089326642065e-05,9.0910673357935,0.039090206914027,21.819586171946,0.216216216216216,FAIL
47,Model_A,Stress_1,20,200,20,0.000159015055254884,0.0277410778862474,0.000146974572664529,46.974572664529,0.0419144780209668,16.1710439580664,0.121621621621622,FAIL
48,Model_A,Stress_1,20,200,20,8.75663072393824e-05,0.0185050421780563,8.77212848908698e-05,12.2787151091302,0.0417716424508844,16.4567150982313,0.141891891891892,FAIL
49,Model_A,Stress_1,20,200,20,6.45208589513098e-05,0.0136547473349716,6.5190398630629e-05,34.809601369371,0.0406537772530935,18.692445493813,0.135135135135135,FAIL
50,Model_A,Stress_1,20,200,20,6.49277303868372e-05,0.00939975261026975,6.52010112954077e-05,34.7989887045923,0.0440660717636061,11.8678564727879,0.141891891891892,FAIL
51,Model_A,Stress_2,20,500,50,0.000110672595872334,0.00794324853869291,0.00010972428070591,9.72428070590978,0.0108242704239173,78.3514591521655,0.0337837837837838,FAIL
52,Model_A,Stress_2,20,500,50,6.71264643054687e-05,0.0915421680870031,6.72377068996436e-05,32.7622931003564,0.0335892434824358,32.8215130351284,0.0135135135135135,FAIL
53,Model_A,Stress_2,20,500,50,6.35915725787249e-05,0.0179477775094079,6.40866569742914e-05,35.9133430257086,0.0201879659018289,59.6240681963422,0.0135135135135135,FAIL
54,Model_A,Stress_2,20,500,50,6.37760906552451e-05,0.0835172513690225,6.3840469718532e-05,36.159530281468,0.0254912158954567,49.0175682090865,0.0067567567567568,FAIL
55,Model_A,Stress_2,20,500,50,0.000156249171967574,0.0715170590699053,0.00015,50,0.0298354198726581,40.3291602546838,0.0135135135135135,FAIL
56,Model_A,Stress_2,20,500,50,6.48867901346748e-05,0.0946758473512774,6.52792112909451e-05,34.7207887090549,0.0301660281565549,39.6679436868903,0.0067567567567568,FAIL
57,Model_A,Stress_2,20,500,50,9.05745168638251e-05,0.00727232466033532,9.20018567875324e-05,7.99814321246759,0.0093837620643631,81.2324758712738,0.0067567567567568,FAIL
58,Model_A,Stress_2,20,500,50,0.000204028244951266,0.0206718502969555,0.000147086850285246,47.0868502852462,0.0222338062915028,55.5323874169944,0.0067567567567568,FAIL
59,Model_A,Stress_2,20,500,50,8.79702930637558e-05,0.0118903502846066,8.8185484210426e-05,11.814515789574,0.0356251697210803,28.7496605578395,0.0337837837837838,FAIL
60,Model_A,Stress_2,20,500,50,0.000238823506098752,0.0185443391923857,0.00015,50,0.0211000395265291,57.7999209469418,0,FAIL
61,Model_A,Stress_2,20,500,50,0.000107731829046322,0.0932914237480587,0.000106838274380264,6.83827438026439,0.0268029403887814,46.3941192224373,0.0067567567567568,FAIL
62,Model_A,Stress_2,20,500,50,0.000164373604847181,0.0895801024975886,0.000144704522377973,44.7045223779726,0.0293188618001222,41.3622763997557,0.0135135135135135,FAIL
63,Model_A,Stress_2,20,500,50,0.000163701644325552,0.0234731864205839,0.000147811028260243,47.811028260243,0.0297019060240079,40.5961879519841,0.0135135135135135,FAIL
64,Model_A,Stress_2,20,500,50,0.000183531403039303,0.0246482619125586,0.00015,50,0.02663441148077,46.73117703846,0.0135135135135135,FAIL
65,Model_A,Stress_2,20,500,50,0.000112482250448853,0.102261095964228,0.000112482250448853,12.4822504488531,0.0185120789023833,62.9758421952333,0.0202702702702703,FAIL
66,Model_A,Stress_2,20,500,50,7.71078984248219e-05,0.01420787647346,7.76456868865771e-05,22.3543131134229,0.0174475338881795,65.104932223641,0.0067567567567568,FAIL
67,Model_A,Stress_2,20,500,50,0.000213789459443975,0.0249845849682441,0.000148849980806099,48.8499808060993,0.0307212594812298,38.5574810375404,0.0135135135135135,FAIL
68,Model_A,Stress_2,20,500,50,9.20476037099143e-05,0.0171913640312341,9.20476037099143e-05,7.95239629008572,0.0196407855263615,60.7184289472769,0.0067567567567568,FAIL
69,Model_A,Stress_2,20,500,50,0.000101414924510292,0.07813274821588,0.000101414924510292,1.41492451029219,0.0329987992831715,34.002401433657,0.0135135135135135,FAIL
70,Model_A,Stress_2,20,500,50,0.000112029205919901,0.0127594416778291,0.000108500645048206,8.50064504820587,0.0139743961774548,72.0512076450904,0,FAIL
71,Model_A,Stress_3,50,500,100,0.000183593641308512,-0.00146889166531089,0.00015,50,0.00932345815633234,81.3530836873353,0.0878378378378378,FAIL
72,Model_A,Stress_3,50,500,100,0.000144120223544371,0.0233136226143252,0.000137199046389464,37.1990463894643,0.0291885259679376,41.6229480641248,0.0743243243243243,FAIL
73,Model_A,Stress_3,50,500,100,8.07573062301001e-05,0.00148204792570379,8.07573062301001e-05,19.2426937698999,0.0146407885573387,70.7184228853226,0.081081081081081,FAIL
74,Model_A,Stress_3,50,500,100,0.000153182012404678,0.00814789459108316,0.00015,50,0.0116551127731688,76.6897744536624,0.081081081081081,FAIL
75,Model_A,Stress_3,50,500,100,7.91587278821671e-05,0.017151584308924,7.93833045480078e-05,20.6166954519922,0.0293157553483597,41.3684893032807,0.0945945945945946,FAIL
76,Model_A,Stress_3,50,500,100,0.000174552851613584,0.083765502939372,0.00015,50,0.0257113843858082,48.5772312283836,0.114864864864865,FAIL
77,Model_A,Stress_3,50,500,100,0.000188001658940138,0.00491761683382418,0.000147080869037965,47.0808690379652,0.00991870298014805,80.1625940397039,0.0675675675675675,FAIL
78,Model_A,Stress_3,50,500,100,0.000173536662151592,0.00511291363480678,0.00015,50,0.00988134798481197,80.2373040303761,0.0608108108108109,FAIL
79,Model_A,Stress_3,50,500,100,7.49384945584799e-05,0.00654909853312625,7.56629810554629e-05,24.3370189445371,0.0313569460359815,37.286107928037,0.0540540540540541,FAIL
80,Model_A,Stress_3,50,500,100,0.000125046099984349,0.0201273515765899,0.000125046099984349,25.0460999843489,0.0318059594584387,36.3880810831226,0.0540540540540541,FAIL
81,Model_A,Stress_3,50,500,100,0.000143095600975446,0.0102304101140804,0.000143095600975446,43.0956009754456,0.0127583833676715,74.4832332646571,0.0472972972972973,FAIL
82,Model_A,Stress_3,50,500,100,9.40595601933693e-05,0.00796962006184626,9.57928010231636e-05,4.20719897683645,0.011810874048365,76.37825190327,0.0608108108108109,FAIL
83,Model_A,Stress_3,50,500,100,8.1515628815535e-05,0.00453091386088162,8.1515628815535e-05,18.484371184465,0.0111456113484003,77.7087773031995,0.108108108108108,FAIL
84,Model_A,Stress_3,50,500,100,7.82745606934742e-05,0.00269210204988337,7.92965571802219e-05,20.7034428197781,0.00941690444856206,81.1661911028759,0.027027027027027,FAIL
85,Model_A,Stress_3,50,500,100,0.000186558640224061,0.0132484578895263,0.00015,50,0.0145941411759936,70.8117176480128,0.0472972972972973,FAIL
86,Model_A,Stress_3,50,500,100,8.19908609221502e-05,0.00144178693732441,8.19908609221502e-05,18.0091390778498,0.00727212599660344,85.4557480067931,0.0675675675675675,FAIL
87,Model_A,Stress_3,50,500,100,6.50811669429013e-05,-0.00214266444117187,6.58102188548646e-05,34.1897811451354,0.0058150675880973,88.3698648238054,0.101351351351351,FAIL
88,Model_A,Stress_3,50,500,100,6.92127348388134e-05,0.0176686650233646,7.11033691256115e-05,28.8966308743885,0.0208157845575732,58.3684308848536,0.0675675675675675,FAIL
89,Model_A,Stress_3,50,500,100,0.000115156701249199,0.00403059037688406,0.000115156701249199,15.1567012491989,0.00873198296556795,82.5360340688641,0.0945945945945946,FAIL
90,Model_A,Stress_3,50,500,100,0.000114874588097796,0.0148969940213906,0.000112131440604387,12.131440604387,0.0200596460518003,59.8807078963994,0.081081081081081,FAIL
