validation_case,seed,C_true_F,ESR_true_Ohm,C_hat_F,ESR_hat_Ohm,C_abs_error_percent,ESR_abs_error_percent,C_CI95_covered,ESR_CI95_covered,ENOB,effective_edge_CMRR_dB,VREF_noise_uV_rms,clock_jitter_ns_rms,failure_cause
low_CCM,45,0.0001,0.05,9.97412595670485e-05,0.050586347121711,0.258740432951534,1.17269424342195,1,1,13.248417128684,69.044321250738,11.1920527306387,1.91688850811996,PASS
low_CCM,46,0.0001,0.05,9.89101187772868e-05,0.0502998198328004,1.08988122271317,0.599639665600893,1,1,13.4305922924987,69.8776128852038,20.3484589340425,1.77911702840875,PASS
low_CCM,47,0.0001,0.05,0.000100978226244397,0.0507299587617007,0.978226244397311,1.45991752340149,1,1,13.1463715595432,68.2737862527902,4.30623528284447,2.14374792209182,PASS
low_CCM,48,0.0001,0.05,9.98611368830826e-05,0.0515917275012176,0.138863116917406,3.18345500243514,1,1,13.5271020591137,65.9455881498546,9.36091631745877,1.73419965313832,PASS
low_CCM,49,0.0001,0.05,0.000100631133129531,0.050315400805358,0.631133129531434,0.630801610716006,1,1,14.4458687169118,71.3806937329957,5.51036670138085,1.76052578762186,PASS
low_CCM,50,0.0001,0.05,9.9948977855201e-05,0.0508174421900282,0.0510221447989781,1.63488438005645,1,1,13.4297894895322,70.3959655166228,11.23909919208,3.23447932413135,PASS
low_CCM,51,0.0001,0.05,9.95835851316428e-05,0.0505070477220816,0.416414868357215,1.01409544416313,1,1,13.6276950679986,66.9548753943578,9.89870069711704,1.94347231228045,PASS
low_CCM,52,0.0001,0.05,9.98207391276724e-05,0.0504823034174578,0.179260872327618,0.964606834915518,1,1,13.2217939945669,70.5332609418638,6.59158621507892,1.25521710125496,PASS
low_CCM,53,0.0001,0.05,9.93465837148764e-05,0.0500765843979569,0.653416285123555,0.153168795913719,1,1,13.5889713484088,70.8778344711834,13.8336229641855,1.45804171477781,PASS
low_CCM,54,0.0001,0.05,9.87574968516619e-05,0.0492338078739569,1.24250314833814,1.53238425208613,1,1,13.7064776530957,71.8311438547644,5.44177073053332,1.05166543416328,PASS
low_CCM,55,0.0001,0.05,0.000100120438365261,0.0490943890554341,0.120438365261292,1.81122188913184,1,1,13.6343732235357,69.6074424121817,9.11981541829447,1.9431470538993,PASS
low_CCM,56,0.0001,0.05,9.99169311942384e-05,0.0499274151946059,0.083068805761577,0.145169610788171,1,1,13.420691360259,73.1061398394114,14.9433248387795,2.16603799787654,PASS
low_CCM,57,0.0001,0.05,0.000100636964240894,0.0501658126272993,0.636964240894282,0.331625254598567,1,1,13.3050908064976,68.3317620724897,5.98460227225689,2.46283147157891,PASS
low_CCM,58,0.0001,0.05,9.88936537549371e-05,0.0496563015533028,1.10634624506288,0.687396893394476,1,1,13.8784412827807,70.721376246405,11.5907110823262,2.05485254114892,PASS
low_CCM,59,0.0001,0.05,9.97996164279125e-05,0.0493357098201907,0.200383572087481,1.32858035961854,1,1,13.4977380925741,67.6566716194865,10.732866664518,2.16805747230884,PASS
low_CCM,60,0.0001,0.05,0.000100017040667963,0.0507018384994598,0.0170406679629175,1.40367699891959,1,1,13.4107303468281,71.2550567582346,10.9322708901589,1.57959342636534,PASS
low_CCM,61,0.0001,0.05,9.94251713819748e-05,0.0506560660437032,0.574828618025254,1.31213208740645,1,1,14.0507735879563,70.0163841026026,13.0217269336193,2.51052024473664,PASS
low_CCM,62,0.0001,0.05,9.83137808062772e-05,0.0510656556484291,1.68621919372277,2.13131129685827,1,1,13.0592254483394,67.5389086094024,11.0797619379495,1.99131243231749,PASS
low_CCM,63,0.0001,0.05,9.99076648003786e-05,0.0503176273887697,0.0923351996213811,0.635254777539479,1,1,13.6513827115875,68.6536877766406,9.74083885564294,2.34487650421115,PASS
low_CCM,64,0.0001,0.05,9.91167764914747e-05,0.050644293858394,0.883223508525285,1.28858771678801,1,1,13.9351716673688,69.2127063725847,10.364463131225,1.97041701560465,PASS
low_CCM,65,0.0001,0.05,9.97596059991958e-05,0.0489466565409319,0.24039400080423,2.10668691813612,1,1,14.1692882180119,70.4965882991041,12.1415799142723,1.63578202967939,PASS
low_CCM,66,0.0001,0.05,9.9110929615122e-05,0.0502663495850573,0.889070384877991,0.532699170114642,1,1,13.4914060598686,69.7105269044389,15.1618257028344,1.65068152861999,PASS
low_CCM,67,0.0001,0.05,0.000100582177240291,0.0496969306441808,0.58217724029147,0.606138711638338,1,1,13.877703210799,71.8343542891461,7.03906990668683,2.11405216202622,PASS
low_CCM,68,0.0001,0.05,9.94097140833936e-05,0.0501246665982337,0.590285916606369,0.249333196467319,1,1,13.3172510538672,70.4188922062925,8.33847595015747,2.36160565591424,PASS
low_CCM,69,0.0001,0.05,9.90686204025222e-05,0.0512358604498453,0.931379597477835,2.4717208996905,1,1,13.8173694212627,71.2358091452205,10.2046094003373,2.73666039174539,PASS
low_CCM,70,0.0001,0.05,9.76699474945828e-05,0.0497867501686065,2.33005250541718,0.426499662787044,0,1,13.4763855800617,73.0410685573745,11.185393903143,2.37857830409324,PASS
low_CCM,71,0.0001,0.05,9.96936720221419e-05,0.0506807850028298,0.306327977858082,1.3615700056596,1,1,12.8950417297859,72.2952787606585,10.664504155714,1.95659089647334,PASS
low_CCM,72,0.0001,0.05,9.81763056742285e-05,0.0511809399133251,1.82369432577151,2.36187982665029,1,1,12.6418727341909,71.7316962303547,10.8724013123441,1.2109890133336,PASS
low_CCM,73,0.0001,0.05,9.95147486398267e-05,0.049989324063887,0.48525136017331,0.021351872225947,1,1,13.5519392226085,69.0821422504989,17.1445723985247,2.41694054339906,PASS
low_CCM,74,0.0001,0.05,9.86524940515017e-05,0.0498836691232241,1.34750594849831,0.232661753551786,1,1,13.7121701989578,71.7094212170446,15.9061271848483,1.96026015056597,PASS
low_CCM,75,0.0001,0.05,9.87886350980486e-05,0.0508372014761235,1.21136490195136,1.67440295224705,1,1,13.8169440315083,69.9063438868827,12.2041069358491,3.32526617176652,PASS
low_CCM,76,0.0001,0.05,9.92928655471066e-05,0.0500637826384045,0.707134452893364,0.12756527680903,1,1,13.2774700975425,67.6402633028344,12.256973476079,1.69871466798544,PASS
low_CCM,77,0.0001,0.05,9.99908115357553e-05,0.0510572368112174,0.00918846424473188,2.1144736224348,1,1,13.4644244368578,64.3562841175563,9.90856136806726,2.29979960369439,PASS
low_CCM,78,0.0001,0.05,9.97239922185463e-05,0.0512762957854038,0.276007781453713,2.5525915708076,1,1,13.6252114961952,73.1550865680661,10.0282296892499,2.16644842134048,PASS
low_CCM,79,0.0001,0.05,9.93550132081756e-05,0.0490866935523115,0.64498679182439,1.82661289537693,1,1,14.0384432276127,68.3890209239296,9.26488520389679,2.17291690245097,PASS
low_CCM,80,0.0001,0.05,0.000101737663162781,0.0496539091200321,1.73766316278083,0.692181759935753,0,1,13.6301058350195,70.1190436745331,9.7772643289609,1.89387590144206,PASS
low_CCM,81,0.0001,0.05,9.95661401158447e-05,0.0503180301985026,0.433859884155281,0.63606039700527,1,1,13.0300191656076,73.3827523367693,8.03699213692284,1.85420222223625,PASS
low_CCM,82,0.0001,0.05,9.98238887717369e-05,0.0507092311556574,0.176111228263084,1.41846231131477,1,1,12.8371879392484,70.5437163672188,7.27678929613456,1.71148276927438,PASS
low_CCM,83,0.0001,0.05,0.000100758708765828,0.0501653890791481,0.758708765827558,0.330778158296158,1,1,12.9039488706252,69.4901962458548,7.44900306218047,2.9310204785973,PASS
low_CCM,84,0.0001,0.05,0.000100806474650448,0.0500806789484275,0.806474650448169,0.161357896854897,1,1,13.2741931423777,69.2907326225746,6.48832252508937,1.79530529248632,PASS
low_CCM,85,0.0001,0.05,9.91897487093142e-05,0.0504030393239335,0.81025129068577,0.806078647866998,1,1,13.5292444949321,69.909066005533,5.42732001127701,1.773441029409,PASS
low_CCM,86,0.0001,0.05,9.94742930962407e-05,0.048630973031154,0.525706903759256,2.73805393769191,1,1,13.0816300403211,69.8665143082237,9.30251770690256,1.88875746970613,PASS
low_CCM,87,0.0001,0.05,9.92671258458004e-05,0.0492361346443787,0.732874154199593,1.5277307112426,1,1,13.4474007102786,70.1225671376912,9.07128716081826,1.87449054722407,PASS
low_CCM,88,0.0001,0.05,0.000100081459623676,0.0494482015700526,0.0814596236761971,1.10359685989481,1,1,13.2549717233246,70.6131087372996,6.94967536243869,3.10253955593687,PASS
low_CCM,89,0.0001,0.05,9.88051943018519e-05,0.050174184349801,1.19480569814812,0.348368699602017,1,1,14.3502762536698,67.6835445224892,5.21536765410562,1.00155627695292,PASS
low_CCM,90,0.0001,0.05,0.000100127689042097,0.0499565182708342,0.127689042096676,0.0869634583316181,1,1,13.4263396518847,70.6596766265584,13.6754793768293,2.07378567462098,PASS
low_CCM,91,0.0001,0.05,0.000100996787524814,0.0496838962664485,0.996787524813511,0.632207467102935,1,1,14.0318881848064,70.2295710386134,8.32284553481435,2.41639725654118,PASS
low_CCM,92,0.0001,0.05,0.000100891430796226,0.0503410085401524,0.891430796225734,0.682017080304839,1,1,14.0515648297573,71.693290807905,7.99896973469675,1.98769083562672,PASS
low_CCM,93,0.0001,0.05,9.99612822181017e-05,0.0504501811614606,0.0387177818983193,0.900362322921178,1,1,13.4368089585618,69.8964396860395,7.73967563356365,2.34131734893551,PASS
low_CCM,94,0.0001,0.05,0.000102045734267375,0.0503324482202941,2.04573426737482,0.664896440588161,0,1,12.8832932256933,67.6063848315482,10.1265532240764,2.35140909418617,PASS
