noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
10mV_5mA,0.9,1.5,10,3,KF,0.398141309674832,0.44558829135838,24,99.8,0
10mV_5mA,0.9,1.5,10,3,HYBRID,0.398141309674832,0.44558829135838,24,99.8,0
nominal,0.9,1.5,6.89655172413793,1,RLS,0.08875228171504,0.0527379179269669,6,100,0
nominal,0.9,1.5,6.89655172413793,1,KF,0.0364060692871961,0.0879173644652586,3,98.4,0
nominal,0.9,1.5,6.89655172413793,1,HYBRID,0.0364060692871961,0.0879173644652586,3,98.4,0
nominal,0.9,1.5,6.89655172413793,2,RLS,0.0834608395154895,0.0614501455925351,11,100,0
nominal,0.9,1.5,6.89655172413793,2,KF,0.0972421398021179,0.11453520391972,3,98.8,0
nominal,0.9,1.5,6.89655172413793,2,HYBRID,0.0972421398021179,0.11453520391972,3,98.8,0
nominal,0.9,1.5,6.89655172413793,3,RLS,0.0976646014102826,0.0779223665111806,5,100,0
nominal,0.9,1.5,6.89655172413793,3,KF,0.0295382521046228,0.11672149855443,14,97.4,0
nominal,0.9,1.5,6.89655172413793,3,HYBRID,0.0295382542174499,0.11672149855443,14,97.4,2
10mV_5mA,0.9,1.5,6.89655172413793,1,RLS,1.15910512276242,0.286981631686787,23,100,0
10mV_5mA,0.9,1.5,6.89655172413793,1,KF,1.03920448946363,0.38667570195571,16,99.3,0
10mV_5mA,0.9,1.5,6.89655172413793,1,HYBRID,1.03920448946363,0.38667570195571,16,99.3,0
10mV_5mA,0.9,1.5,6.89655172413793,2,RLS,0.41140748553458,0.176504081833398,55,100,0
10mV_5mA,0.9,1.5,6.89655172413793,2,KF,0.157702938036313,0.275430187858583,60,99.5,0
10mV_5mA,0.9,1.5,6.89655172413793,2,HYBRID,0.157702938036313,0.275430187858583,60,99.5,0
10mV_5mA,0.9,1.5,6.89655172413793,3,RLS,2.64144649209403,0.118505780131756,228,100,0
10mV_5mA,0.9,1.5,6.89655172413793,3,KF,1.28850555105791,0.238286958395704,221,97.2,0
10mV_5mA,0.9,1.5,6.89655172413793,3,HYBRID,5.47913279002609,0.238286958395704,221,95.5,1
nominal,0.9,2,17.2413793103448,1,RLS,0.204482515135131,0.0135098436935283,3,100,0
nominal,0.9,2,17.2413793103448,1,KF,0.256698963496552,0.102143270012719,2,99.2,0
nominal,0.9,2,17.2413793103448,1,HYBRID,0.256698963496552,0.102143270012719,2,99.2,0
nominal,0.9,2,17.2413793103448,2,RLS,0.505167469197886,0.038648251890387,4,100,0
nominal,0.9,2,17.2413793103448,2,KF,0.23113388896203,0.0913573443191547,2,99.7,0
nominal,0.9,2,17.2413793103448,2,HYBRID,0.23113388896203,0.0913573443191547,2,99.7,0
nominal,0.9,2,17.2413793103448,3,RLS,0.11352132867498,0.0118878482845211,2,100,0
nominal,0.9,2,17.2413793103448,3,KF,0.0786703845697299,0.155467810992807,2,99,0
nominal,0.9,2,17.2413793103448,3,HYBRID,0.267956732533623,0.155467810992807,2,99,1
10mV_5mA,0.9,2,17.2413793103448,1,RLS,0.622864818630117,0.141202685492948,60,100,0
