noise,C_factor,ESR_factor,Rload,seed,method,tail_C_err,tail_ESR_err,conv_cycles,joint_coverage,resets
nominal,0.8,1.5,6.89655172413793,2,KF,0.0517010941513536,0.107070110307296,2,97,0
nominal,0.8,1.5,6.89655172413793,2,HYBRID,0.0517010941513536,0.107070110307296,2,97,0
nominal,0.8,1.5,6.89655172413793,3,RLS,0.131688562460075,0.0677409159834754,4,100,0
nominal,0.8,1.5,6.89655172413793,3,KF,0.0541374926762621,0.109461530784676,2,98,0
nominal,0.8,1.5,6.89655172413793,3,HYBRID,0.0541374926762621,0.109461530784676,2,98,0
10mV_5mA,0.8,1.5,6.89655172413793,1,RLS,1.55946098740943,0.379214243918978,111,100,0
10mV_5mA,0.8,1.5,6.89655172413793,1,KF,0.430492122294638,0.504595205115176,134,95.5,0
10mV_5mA,0.8,1.5,6.89655172413793,1,HYBRID,0.430492122294638,0.504595205115176,134,95.5,0
10mV_5mA,0.8,1.5,6.89655172413793,2,RLS,0.355805071045223,0.276612470688852,21,100,0
10mV_5mA,0.8,1.5,6.89655172413793,2,KF,0.163774429533512,0.418920903511017,37,100,0
10mV_5mA,0.8,1.5,6.89655172413793,2,HYBRID,0.163774429533512,0.418920903511017,37,100,0
10mV_5mA,0.8,1.5,6.89655172413793,3,RLS,1.51169480405266,0.192493869618114,123,100,0
10mV_5mA,0.8,1.5,6.89655172413793,3,KF,0.383875281889731,0.171341278128852,2,99.8,0
10mV_5mA,0.8,1.5,6.89655172413793,3,HYBRID,0.383875281889731,0.171341278128852,2,99.8,0
nominal,0.8,2,17.2413793103448,1,RLS,0.298789361550237,0.0327601377649744,9,100,0
nominal,0.8,2,17.2413793103448,1,KF,0.20549594002322,0.125723226635183,5,99.6,0
nominal,0.8,2,17.2413793103448,1,HYBRID,0.20549594002322,0.125723226635183,5,99.6,0
nominal,0.8,2,17.2413793103448,2,RLS,0.119386978315262,0.0115007216463772,15,100,0
nominal,0.8,2,17.2413793103448,2,KF,0.184744747055698,0.167246528973832,6,89.5,0
nominal,0.8,2,17.2413793103448,2,HYBRID,0.184744747055698,0.167246528973832,6,89.5,0
nominal,0.8,2,17.2413793103448,3,RLS,0.154760169531835,0.00334116971697607,2,100,0
nominal,0.8,2,17.2413793103448,3,KF,0.226938176223862,0.0696522042503133,3,98.7,0
nominal,0.8,2,17.2413793103448,3,HYBRID,0.226938176223862,0.0696522042503133,3,98.7,0
10mV_5mA,0.8,2,17.2413793103448,1,RLS,1.69187110512883,0.608721760788928,24,100,0
10mV_5mA,0.8,2,17.2413793103448,1,KF,1.05682964587906,1.01946871466201,109,99.8,0
10mV_5mA,0.8,2,17.2413793103448,1,HYBRID,1.05682964587906,1.01946871466201,109,99.8,0
10mV_5mA,0.8,2,17.2413793103448,2,RLS,3.89312955990681,0.0922363135818126,24,100,0
10mV_5mA,0.8,2,17.2413793103448,2,KF,1.38187507016396,0.43368031859676,133,100,0
10mV_5mA,0.8,2,17.2413793103448,2,HYBRID,1.38187507016396,0.43368031859676,133,100,0
10mV_5mA,0.8,2,17.2413793103448,3,RLS,5.17165861829799,0.424247517524295,66,100,0
10mV_5mA,0.8,2,17.2413793103448,3,KF,3.46031732947544,0.40143041746065,130,94.2,0
10mV_5mA,0.8,2,17.2413793103448,3,HYBRID,3.46031732947544,0.40143041746065,130,94.2,0
nominal,0.8,2,10,1,RLS,0.117371496603049,0.0507145403677671,5,100,0
nominal,0.8,2,10,1,KF,0.0843379889342317,0.0905814681910272,2,98.1,0
nominal,0.8,2,10,1,HYBRID,0.0843379889342317,0.0905814681910272,2,98.1,0
nominal,0.8,2,10,2,RLS,0.0576626554121216,0.0411544064281235,3,100,0
nominal,0.8,2,10,2,KF,0.0199094435029293,0.108254706279069,2,98.3,0
nominal,0.8,2,10,2,HYBRID,0.0199094435029293,0.108254706279069,2,98.3,0
nominal,0.8,2,10,3,RLS,0.0741465074168685,0.0390782759894868,6,100,0
nominal,0.8,2,10,3,KF,0.0143569805896193,0.128032974510767,2,99,0
nominal,0.8,2,10,3,HYBRID,0.0143569805896193,0.128032974510767,2,99,0
10mV_5mA,0.8,2,10,1,RLS,1.17362514055308,0.311197409370601,17,100,0
10mV_5mA,0.8,2,10,1,KF,0.995993140007051,0.148537633346079,144,95.3,0
10mV_5mA,0.8,2,10,1,HYBRID,0.995993140007051,0.148537633346079,144,95.3,0
10mV_5mA,0.8,2,10,2,RLS,0.32058539819679,0.331608253085504,116,100,0
10mV_5mA,0.8,2,10,2,KF,1.00089089635808,0.360723697092038,2,99.5,0
10mV_5mA,0.8,2,10,2,HYBRID,1.00089089635808,0.360723697092038,2,99.5,0
10mV_5mA,0.8,2,10,3,RLS,0.765810880929666,0.0934711907797783,16,100,0
10mV_5mA,0.8,2,10,3,KF,0.596231387807971,0.444424966757491,2,99.7,0
10mV_5mA,0.8,2,10,3,HYBRID,0.596231387807971,0.444424966757491,2,99.7,0
nominal,0.8,2,6.89655172413793,1,RLS,0.0568529308184529,0.0574092330668483,4,100,0
nominal,0.8,2,6.89655172413793,1,KF,0.0442641558071581,0.106999850668707,2,95.6,0
nominal,0.8,2,6.89655172413793,1,HYBRID,0.0442641558071581,0.106999850668707,2,95.6,0
nominal,0.8,2,6.89655172413793,2,RLS,0.163053056466606,0.0784663098630565,2,100,0
nominal,0.8,2,6.89655172413793,2,KF,0.125891575216545,0.116230987897221,3,94.5,0
nominal,0.8,2,6.89655172413793,2,HYBRID,0.125891575216545,0.116230987897221,3,94.5,0
nominal,0.8,2,6.89655172413793,3,RLS,0.0318557330421295,0.0622670898405864,4,100,0
nominal,0.8,2,6.89655172413793,3,KF,0.00954295983317199,0.0846572232275254,3,94.2,0
nominal,0.8,2,6.89655172413793,3,HYBRID,0.00954295983317199,0.0846572232275254,3,94.2,0
10mV_5mA,0.8,2,6.89655172413793,1,RLS,1.18792220179484,0.20207043770032,17,100,0
