snr_reference,noise_target,SNR_dB,method,C_MAPE_median_percent,C_MAPE_mean_percent,C_MAPE_p95_percent,ESR_MAPE_median_percent,ESR_MAPE_mean_percent,ESR_MAPE_p95_percent,failure_rate
full_signal_rms,i1,50,TS_LTVKF,0.0285809814171923,0.0290504959204874,0.0346190264958413,1.01257029895979,1.0120069290652,1.01694933724988,0
full_signal_rms,i2,20,RLS,0.217490054449266,0.252329202968365,0.495059516648544,2.06802529758764,2.01536312749109,2.56388324115053,0
full_signal_rms,i2,20,TS_LTVKF,11.512001073615,11.5168482159567,11.7555692869494,90,90,90,1
full_signal_rms,i2,30,RLS,0.069708775934707,0.0808809365844187,0.158554345324941,1.36129318017154,1.35533971329433,1.5320792082192,0
full_signal_rms,i2,30,TS_LTVKF,0.057240027167127,4.79029570093127,12.0119399468435,1.14045804019774,36.6615541078471,90,0.4
full_signal_rms,i2,40,RLS,0.0216739353973983,0.0256793506813235,0.0499272451110088,1.27817047695453,1.28513485809976,1.3530062551401,0
full_signal_rms,i2,40,TS_LTVKF,0.0316800198317257,3.42779967300906,29.6618809719543,1.03408666464446,11.6740296083863,77.4355831849952,0.15
full_signal_rms,i2,50,RLS,0.00741124537363413,0.00827822719251747,0.0154283631834339,1.27741979652243,1.28035513565192,1.30611762218977,0
full_signal_rms,i2,50,TS_LTVKF,0.0282651855140814,0.874028946161838,8.48196876461758,1.01914194367852,7.1665468580892,62.4951467743695,0.1
full_signal_rms,all,20,RLS,27.5304781740852,27.4039203629516,39.3693285176253,97.5320532393081,106.587649325404,233.416775447616,1
full_signal_rms,all,20,TS_LTVKF,19.1479175073999,16.6154519203517,31.802811692807,18.0928343282871,18.1551755192903,47.8714568478145,0.9
full_signal_rms,all,30,RLS,23.8462871092221,21.6751594657066,41.9622892963382,52.7474670324164,63.3757520417831,173.818226922676,0.95
full_signal_rms,all,30,TS_LTVKF,9.59441798437344,8.64845952825025,16.6245999580578,6.72440587045371,6.47808435992864,17.5311663719207,0.4
full_signal_rms,all,40,RLS,17.76497937362,16.2842026678525,34.28705788638,22.5420974778132,27.6850750777803,66.6979572835205,0.85
full_signal_rms,all,40,TS_LTVKF,5.03092616975446,4.79321606204592,7.43232062360195,2.09383157263904,2.26253710573935,6.28646550124225,0
full_signal_rms,all,50,RLS,6.78157504218701,6.44475556057631,14.4374440219045,6.79805619726097,8.81540462101954,21.1281194541044,0.25
full_signal_rms,all,50,TS_LTVKF,1.346444195188,1.14864860510355,1.96538503334017,1.36580753483773,1.37474656234353,3.128827587248,0
ac_ripple_rms,vT,20,RLS,0.870010728783593,0.851338983067987,1.78887742149649,1.44712102070808,1.52282327160607,3.86999984008563,0
