scenario,algorithm,cycle,C_true_factor,ESR_true_factor,C_est_factor,ESR_est_factor
load_25_to_75,B4 Cuk-adapted wavelet-KF,467,1,1,1.00046662513415,0.99986658298607
load_25_to_75,B4 Cuk-adapted wavelet-KF,468,1,1,1.00045955505636,0.999869109823455
load_25_to_75,B4 Cuk-adapted wavelet-KF,469,1,1,1.00045259210097,0.999871588804072
load_25_to_75,B4 Cuk-adapted wavelet-KF,470,1,1,1.00044573464489,0.999874020834298
load_25_to_75,B4 Cuk-adapted wavelet-KF,471,1,1,1.00043898108966,0.999876406803345
load_25_to_75,B4 Cuk-adapted wavelet-KF,472,1,1,1.00043232986103,0.999878747583585
load_25_to_75,B4 Cuk-adapted wavelet-KF,473,1,1,1.00042577940859,0.999881044030865
load_25_to_75,B4 Cuk-adapted wavelet-KF,474,1,1,1.00041932820543,0.999883296984826
load_25_to_75,B4 Cuk-adapted wavelet-KF,475,1,1,1.00041297474778,0.999885507269204
load_25_to_75,B4 Cuk-adapted wavelet-KF,476,1,1,1.00040671755463,0.999887675692136
load_25_to_75,B4 Cuk-adapted wavelet-KF,477,1,1,1.00040055516744,0.999889803046452
load_25_to_75,B4 Cuk-adapted wavelet-KF,478,1,1,1.00039448614975,0.999891890109966
load_25_to_75,B4 Cuk-adapted wavelet-KF,479,1,1,1.00038850908687,0.999893937645762
load_25_to_75,B4 Cuk-adapted wavelet-KF,480,1,1,1.00038262258556,0.999895946402471
load_25_to_75,B4 Cuk-adapted wavelet-KF,481,1,1,1.00037682527365,0.999897917114546
load_25_to_75,B4 Cuk-adapted wavelet-KF,482,1,1,1.00037111579981,0.999899850502528
load_25_to_75,B4 Cuk-adapted wavelet-KF,483,1,1,1.00036549283315,0.999901747273313
load_25_to_75,B4 Cuk-adapted wavelet-KF,484,1,1,1.00035995506295,0.999903608120409
load_25_to_75,B4 Cuk-adapted wavelet-KF,485,1,1,1.00035450119836,0.999905433724189
load_25_to_75,B4 Cuk-adapted wavelet-KF,486,1,1,1.00034912996808,0.99990722475214
load_25_to_75,B4 Cuk-adapted wavelet-KF,487,1,1,1.00034384012008,0.999908981859107
load_25_to_75,B4 Cuk-adapted wavelet-KF,488,1,1,1.00033863042129,0.999910705687533
load_25_to_75,B4 Cuk-adapted wavelet-KF,489,1,1,1.00033349965733,0.999912396867694
load_25_to_75,B4 Cuk-adapted wavelet-KF,490,1,1,1.00032844663222,0.999914056017927
load_25_to_75,B4 Cuk-adapted wavelet-KF,491,1,1,1.00032347016809,0.99991568374486
load_25_to_75,B4 Cuk-adapted wavelet-KF,492,1,1,1.00031856910494,0.999917280643632
load_25_to_75,B4 Cuk-adapted wavelet-KF,493,1,1,1.00031374230032,0.999918847298108
load_25_to_75,B4 Cuk-adapted wavelet-KF,494,1,1,1.0003089886291,0.999920384281099
load_25_to_75,B4 Cuk-adapted wavelet-KF,495,1,1,1.00030430698321,0.999921892154563
load_25_to_75,B4 Cuk-adapted wavelet-KF,496,1,1,1.00029969627134,0.999923371469817
load_25_to_75,B4 Cuk-adapted wavelet-KF,497,1,1,1.00029515541875,0.999924822767738
load_25_to_75,B4 Cuk-adapted wavelet-KF,498,1,1,1.00029068336695,0.999926246578955
load_25_to_75,B4 Cuk-adapted wavelet-KF,499,1,1,1.00028627907351,0.99992764342405
load_25_to_75,B4 Cuk-adapted wavelet-KF,500,1,1,1.00028194151179,0.999929013813746
load_25_to_75,B4 Cuk-adapted wavelet-KF,501,1,1,1.0002776696707,0.999930358249092
load_25_to_75,B4 Cuk-adapted wavelet-KF,502,1,1,1.00027346255448,0.999931677221647
load_25_to_75,B4 Cuk-adapted wavelet-KF,503,1,1,1.00026931918244,0.999932971213661
load_25_to_75,B4 Cuk-adapted wavelet-KF,504,1,1,1.00026523858877,0.999934240698251
load_25_to_75,B4 Cuk-adapted wavelet-KF,505,1,1,1.00026121982227,0.999935486139572
load_25_to_75,B4 Cuk-adapted wavelet-KF,506,1,1,1.00025726194618,0.999936707992989
load_25_to_75,B4 Cuk-adapted wavelet-KF,507,1,1,1.0002533640379,0.999937906705243
load_25_to_75,B4 Cuk-adapted wavelet-KF,508,1,1,1.00024952518884,0.999939082714614
load_25_to_75,B4 Cuk-adapted wavelet-KF,509,1,1,1.00024574450416,0.999940236451079
load_25_to_75,B4 Cuk-adapted wavelet-KF,510,1,1,1.00024202110258,0.999941368336476
load_25_to_75,B4 Cuk-adapted wavelet-KF,511,1,1,1.00023835411618,0.999942478784648
load_25_to_75,B4 Cuk-adapted wavelet-KF,512,1,1,1.00023474269018,0.999943568201606
load_25_to_75,B4 Cuk-adapted wavelet-KF,513,1,1,1.00023118598275,0.999944636985666
