case_id,algorithm,noise_profile,skew_ns,seed,C_true_F,ESR_true_ohm,C_est_F,ESR_est_ohm,C_error_percent,ESR_error_percent,C_bias_percent,ESR_bias_percent,C_variance,ESR_variance,convergence_cycles,projection_saturation,failure_flag,failure_reason,mu_C,mu_R
PV1-007,TS-SLTVKE,5mV_2mA,50,42007,9e-05,0.05,9.04468658127384e-05,0.0495256875303464,0.496517569709349,0.948624939307113,0.496517569709349,-0.948624939307113,2.69718789572841e-13,6.67180386709531e-07,20,0,0,,49881.9070389893,11438588.5257905
PV1-007,B0 Closed-form,5mV_2mA,100,52007,9e-05,0.05,9.15731148853439e-05,0.0474058840525109,1.74790542815988,5.18823189497822,1.74790542815988,-5.18823189497822,0.0128227048561834,6.53710561855503e-05,256,0,0,,49881.9070389893,11438588.5257905
PV1-007,B1 RLS,5mV_2mA,100,52007,9e-05,0.05,9.07213118984003e-05,0.0501062263172717,0.801457664889242,0.212452634543489,0.801457664889242,0.212452634543489,8.08979108207086e-09,0.0256832578856938,17,0,0,,49881.9070389893,11438588.5257905
PV1-007,B2 Augmented EKF,5mV_2mA,100,52007,9e-05,0.05,9.24747484177526e-05,0.0517769516135382,2.74972046416959,3.55390322707638,2.74972046416959,3.55390322707638,5.23975653674593e-10,5.50831752891354e-06,1024,0,0,,49881.9070389893,11438588.5257905
PV1-007,B3 Dual EKF,5mV_2mA,100,52007,9e-05,0.05,9.01189157216035e-05,0.0494372944248934,0.132128579559459,1.12541115021325,0.132128579559459,-1.12541115021325,2.91444647523036e-13,6.68639947663348e-06,37,0,0,,49881.9070389893,11438588.5257905
PV1-007,B4 Cuk-adapted wavelet-KF,5mV_2mA,100,52007,9e-05,0.05,8.98625826986746e-05,0.0482638251920403,0.152685890361602,3.47234961591948,-0.152685890361602,-3.47234961591948,1.07997517038737e-12,6.35337502969229e-06,20,0,0,,49881.9070389893,11438588.5257905
PV1-007,TS-SLTVKE,5mV_2mA,100,52007,9e-05,0.05,9.0081618316402e-05,0.0497930564376701,0.0906870182243845,0.413887124659895,0.0906870182243845,-0.413887124659895,2.65388336373329e-13,6.67180386709531e-07,20,0,0,,49881.9070389893,11438588.5257905
PV1-007,B0 Closed-form,10mV_5mA,0,23007,9e-05,0.05,8.71289424629187e-05,0.0499896801184002,3.19006393009031,0.0206397631996036,-3.19006393009031,-0.0206397631996036,0.067628745362888,0.000159225740730297,256,0,0,,12470.4767597473,2859325.5216484
PV1-007,B1 RLS,10mV_5mA,0,23007,9e-05,0.05,8.82034846461995e-05,0.0461904745032092,1.99612817088948,7.61905099358166,-1.99612817088948,-7.61905099358166,7.22841354894391e-09,0.0256832578856938,23,0,0,,12470.4767597473,2859325.5216484
PV1-007,B2 Augmented EKF,10mV_5mA,0,23007,9e-05,0.05,8.33489356972939e-05,0.0508528406722866,7.3900714474512,1.70568134457311,-7.3900714474512,1.70568134457311,7.04172561220206e-10,7.73772162514334e-06,1024,0,0,,12470.4767597473,2859325.5216484
PV1-007,B3 Dual EKF,10mV_5mA,0,23007,9e-05,0.05,8.87512861103985e-05,0.045967964530826,1.38745987733503,8.06407093834796,-1.38745987733503,-8.06407093834796,1.07016273820781e-12,1.35734602969627e-05,81,0,0,,12470.4767597473,2859325.5216484
PV1-007,B4 Cuk-adapted wavelet-KF,10mV_5mA,0,23007,9e-05,0.05,8.90714056580353e-05,0.0507419397738909,1.03177149107195,1.48387954778184,-1.03177149107195,1.48387954778184,1.04244082177936e-12,6.35337502969229e-06,56,0,0,,12470.4767597473,2859325.5216484
