method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,shape,health_report_period_s,noise_profile,skew_ns,C_nRMSE,ESR_nRMSE,C_nIAE,ESR_nIAE,C_xcorr_lag_ms,ESR_xcorr_lag_ms,C_50pct_delay_ms,ESR_50pct_delay_ms,normalized_lag_percent,C_endpoint_error_percent,ESR_endpoint_error_percent,C_max_tracking_error_percent,ESR_max_tracking_error_percent,false_cross_coupling_percent,accepted_C_updates,accepted_R_updates,projection_activations,failure_flag,reliable_health_tracking,notes
M1 TS-D-RLS,Equal-Report,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,0.02048,F28379D_device_realistic,50,NaN,0.00518698015424224,NaN,0.0026234174412777,NaN,0,NaN,20.7199999999998,0.207199999999998,0.134886343468085,0.202224682136376,1.20390634687602,0.580081458842863,1.40367523491904,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,2e-05,F28379D_device_realistic,50,NaN,0.0779317967771059,NaN,0.0424087433145233,NaN,0,NaN,-582.68,5.8268,0.119001771991886,2.3561203060154,2.83982842964192,7.83840546833711,3.21942793824632,249048,107814,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,0.02048,F28379D_device_realistic,50,NaN,0.0771793399052695,NaN,0.0420529961930706,NaN,0,NaN,-430.08,4.3008,0.119001771991886,2.3561203060154,0.577519592821234,6.89035185642933,0.545144549035423,249048,107814,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,2e-05,F28379D_device_realistic,50,NaN,0.0542163731311207,NaN,0.0278409202581715,NaN,0,NaN,-140.28,1.4028,0.152260378106088,0.101714611894482,2.71806353304646,6.35987986099456,2.88645271171047,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-013,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,linear,0.02048,F28379D_device_realistic,50,NaN,0.0543993549187177,NaN,0.0280186993080317,NaN,0,NaN,-409.36,4.0936,0.152260378106088,0.101714611894482,0.363170454996875,5.49756379957806,0.322281782164389,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,2e-05,F28379D_device_realistic,50,NaN,0.00479049907666295,NaN,0.00253373491061271,NaN,0,NaN,-21.8400000000001,0.218400000000001,0.347307182153969,0.231153573751947,4.18984691777739,6.43344647831863,5.28820696236648,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,0.02048,F28379D_device_realistic,50,NaN,0.00470827466126396,NaN,0.00251120566231724,NaN,0,NaN,-20.4399999999998,0.204399999999998,0.347307182153969,0.231153573751947,1.15055089331408,0.553113270891361,1.12170603353016,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,2e-05,F28379D_device_realistic,50,NaN,0.0739049377286482,NaN,0.0425103404397643,NaN,0,NaN,-412.44,4.1244,0.393209920836662,0.602707453007306,4.05795271768386,7.71640479241819,4.40327863920461,248992,108101,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,0.02048,F28379D_device_realistic,50,NaN,0.0737230107206622,NaN,0.0425737869992707,NaN,0,NaN,-409.36,4.0936,0.393209920836662,0.602707453007306,0.595266052149607,6.32556206607457,0.58422946586976,248992,108101,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,2e-05,F28379D_device_realistic,50,NaN,0.0512594676968939,NaN,0.0277854869864678,NaN,0,NaN,-138.04,1.3804,0.305028528639403,0.584505486693115,3.90740445971529,6.42816664996782,3.96448291925441,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-014,TRACE_DERIVED_OBSERVATION,ESR_ramp,10,smooth,0.02048,F28379D_device_realistic,50,NaN,0.0506025526708417,NaN,0.0274966325090545,NaN,0,NaN,20.7199999999998,0.207199999999998,0.305028528639403,0.584505486693115,0.365960803781466,5.4017204640897,0.222068216220106,250000,250000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,2e-05,F28379D_device_realistic,50,NaN,0.0144859021390479,NaN,0.00711338627060012,NaN,0,NaN,-559.440000000002,0.559440000000002,0.333889349865492,0.00614192655987167,3.63933686532563,6.57667598334609,5.24971656745033,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,0.02048,F28379D_device_realistic,50,NaN,0.0144753649675528,NaN,0.00709659113426307,NaN,0,NaN,-1169.28,1.16928,0.333889349865492,0.00614192655987167,1.42938190108196,1.66926891643258,1.6687906874955,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Native,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,2e-05,F28379D_device_realistic,50,NaN,0.079117744060068,NaN,0.0398854926369293,NaN,0,NaN,-6531.84,6.53184,0.0791417087410385,3.85675200847772,3.61248497529272,7.91387776770116,4.35713311838991,2461822,1477035,0,0,0,Ramp is a health-tracking test; failures are retained.
M2 TS-SLTVKE,Equal-Report,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,0.02048,F28379D_device_realistic,50,NaN,0.0788721116008369,NaN,0.039728812855064,NaN,0,NaN,-3339,3.339,0.0791417087410385,3.85675200847772,0.743535340907484,7.79581455682248,1.08137688070633,2461822,1477035,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Native,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,2e-05,F28379D_device_realistic,50,NaN,0.0809122983973927,NaN,0.0418414213209909,NaN,0,NaN,-1796.76,1.79676,0.0899893460330818,2.0188558625065,3.44144862116106,7.720297748886,3.81385562662755,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M3 Dual EKF,Equal-Report,RAMP-015,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,linear,0.02048,F28379D_device_realistic,50,NaN,0.0808964817023664,NaN,0.0418397749520978,NaN,0,NaN,-3606.12,3.60612,0.0899893460330818,2.0188558625065,0.368015202428435,7.5611021614529,0.713570715132073,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Native,RAMP-016,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,smooth,2e-05,F28379D_device_realistic,50,NaN,0.0137066299849855,NaN,0.00711091390365022,NaN,0,NaN,-360.36,0.36036,0.157664970374302,0.192770878485127,2.20166423086152,6.31267160422225,3.94983127516589,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
M1 TS-D-RLS,Equal-Report,RAMP-016,TRACE_DERIVED_OBSERVATION,ESR_ramp,100,smooth,0.02048,F28379D_device_realistic,50,NaN,0.013720171922408,NaN,0.00712301005003055,NaN,0,NaN,-410.760000000003,0.410760000000003,0.157664970374302,0.192770878485127,1.3668036438306,1.64731434619741,1.28336489560715,2500000,2500000,0,0,1,Ramp is a health-tracking test; failures are retained.
