method,mode,case_id,source_model,trajectory_type,trajectory_duration_s,health_report_period_s,noise_profile,skew_ns,C_true,ESR_true,C_est,ESR_est,C_error,ESR_error,accepted_C_updates,accepted_R_updates,compute_count,failure_flag,notes
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,0,8e-05,0.05,7.97350702593081e-05,0.0499263546618078,0.331162175864896,0.147290676384426,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,20,8e-05,0.05,7.97677605159229e-05,0.0501068614595442,0.290299355096368,0.213722919088322,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,50,8e-05,0.05,7.87446868853898e-05,0.0502291564012676,1.5691413932628,0.45831280253521,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,10mV_5mA,100,8e-05,0.05,7.90426443122381e-05,0.0495379019874898,1.19669460970244,0.924196025020418,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,0,8e-05,0.05,8.0299287468987e-05,0.0499774073826692,0.374109336233763,0.0451852346615711,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,20,8e-05,0.05,8.04632213980494e-05,0.04996097677361,0.579026747561695,0.0780464527799674,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,50,8e-05,0.05,8.00553566108592e-05,0.0498332544753501,0.0691957635739593,0.333491049299794,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,5mV_2mA,100,8e-05,0.05,7.96993678968108e-05,0.0503098364187859,0.375790128986553,0.619672837571716,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,0,8e-05,0.05,7.9873012062682e-05,0.0499561846543219,0.158734921647519,0.0876306913562219,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,20,8e-05,0.05,8.01220941091814e-05,0.050145868583195,0.152617636476737,0.291737166389994,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,50,8e-05,0.05,8.04672467100358e-05,0.0501180097853521,0.584058387544717,0.236019570704205,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
M1 TS-D-RLS,Native,PV1-004,FROZEN_PV12_RECALIBRATED_ANCHOR,static,0.02048,2e-05,F28379D_device_realistic,100,8e-05,0.05,7.97129372667335e-05,0.0504233400557608,0.358828416583146,0.846680111521558,512,512,1024,0,"Recalibrated v1.2 O1 blind row; identical case/seed."
