test_id,model_type,Vin,D,load_percent,fs_Hz,C_true_F,ESR_true_Ohm,noise_SNR_dB,adc_bits,samples_per_cycle,sync_error_s,ESL_H,method,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,convergence_time_s,rank_Phi,cond_Phi,rank_Obs,cond_Obs,min_singular_Obs,status,notes
OP_26_DCM,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.08400610482812,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_27_DCM,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.04436412710315,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.25
OP_28_DCM,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.01781886186314,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.5
OP_29_1,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0949378339686335,NaN,8.01731778647176,NaN,2,1.00874401658813,3,11390.4120140451,0.000289945342361647,FAIL,CCM operating sweep; load fraction=0.75
OP_29_2,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.197407927554638,NaN,1.01909624910635,5.00000000000023e-06,2,1.00874401658813,3,11390.4120140451,0.000289945342361647,PASS,CCM operating sweep; load fraction=0.75
OP_30_1,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0475963059487161,NaN,5.23803644173205,NaN,2,1.0049314194642,3,11699.5841735496,0.000288464727946714,FAIL,CCM operating sweep; load fraction=1
OP_30_2,Model_A,24,0.25,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.152216027192831,NaN,1.0191514683313,5.00000000000023e-06,2,1.0049314194642,3,11699.5841735496,0.000288464727946714,PASS,CCM operating sweep; load fraction=1
OP_31_DCM,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.10382164449429,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_32_DCM,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.04040574076116,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.25
OP_33_1,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0132097685758392,NaN,4.61564971930527,NaN,2,1.01350662051344,3,7824.98851541698,0.000466373524709259,PASS,CCM operating sweep; load fraction=0.5
OP_33_2,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0846409051161623,NaN,1.03086481659341,7.10000000000034e-06,2,1.01350662051344,3,7824.98851541698,0.000466373524709259,PASS,CCM operating sweep; load fraction=0.5
OP_34_1,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00152596621965095,NaN,2.57103399614408,NaN,2,1.00619415995344,3,8658.08920929274,0.000455653391451141,PASS,CCM operating sweep; load fraction=0.75
OP_34_2,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0632262531971128,NaN,1.03761832427479,7.10000000000034e-06,2,1.00619415995344,3,8658.08920929274,0.000455653391451141,PASS,CCM operating sweep; load fraction=0.75
OP_35_1,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00308382475161517,NaN,1.60588786412301,NaN,2,1.00341187600222,3,9758.46498263481,0.000439112448656143,PASS,CCM operating sweep; load fraction=1
OP_35_2,Model_A,24,0.35,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.050053720489196,NaN,1.04292183015052,7.35000000000002e-05,2,1.00341187600222,3,9758.46498263481,0.000439112448656143,PASS,CCM operating sweep; load fraction=1
OP_36_DCM,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.05569301644255,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_37_1,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0677707787937853,NaN,4.14202581189577,NaN,2,1.01769785018902,3,5029.78428140419,0.00070985224809307,PASS,CCM operating sweep; load fraction=0.25
OP_37_2,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0161553080005206,NaN,1.05947528502217,9.00000000000033e-06,2,1.01769785018902,3,5029.78428140419,0.00070985224809307,PASS,CCM operating sweep; load fraction=0.25
OP_38_1,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00475051533630477,NaN,1.68052866702391,NaN,2,1.0049261998213,3,6335.34231414013,0.000684582936254176,PASS,CCM operating sweep; load fraction=0.5
OP_38_2,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00254586237844467,NaN,1.06803073513492,9.00000000000033e-06,2,1.0049261998213,3,6335.34231414013,0.000684582936254176,PASS,CCM operating sweep; load fraction=0.5
OP_39_1,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000365165767457487,NaN,0.872146196792722,NaN,2,1.00213083616278,3,8482.12036936035,0.000626729877755605,PASS,CCM operating sweep; load fraction=0.75
OP_39_2,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00352067020874536,NaN,1.07360985244972,0.0001661,2,1.00213083616278,3,8482.12036936035,0.000626729877755605,PASS,CCM operating sweep; load fraction=0.75
OP_40_1,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.000860045327433223,NaN,0.527172352078265,NaN,2,1.00120319910316,3,11860.1926557555,0.000540265352213268,PASS,CCM operating sweep; load fraction=1
OP_40_2,Model_A,24,0.45,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.00544037837375555,NaN,1.0761345807629,9.00000000000033e-06,2,1.00120319910316,3,11860.1926557555,0.000540265352213268,PASS,CCM operating sweep; load fraction=1
OP_41_DCM,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,not_evaluated,NaN,NaN,NaN,NaN,NaN,2,1.21752603303491,NaN,NaN,NaN,EXCLUDED_DCM,Estimator claims scoped to CCM; load fraction=0.1
OP_42_1,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.0181096238685452,NaN,2.66865302116566,NaN,2,1.03243172210035,3,4665.25613978849,0.000857961484141616,PASS,CCM operating sweep; load fraction=0.25
OP_42_2,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0413029888427285,NaN,1.08401331635627,1.10000000000002e-05,2,1.03243172210035,3,4665.25613978849,0.000857961484141616,PASS,CCM operating sweep; load fraction=0.25
OP_43_1,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00277362820771954,NaN,0.730512999034039,NaN,2,1.00647817081036,3,7435.8400281508,0.000773090557223364,PASS,CCM operating sweep; load fraction=0.5
OP_43_2,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,TS_LTVKF_adaptive,NaN,0.0182114342040851,NaN,1.0918668929486,0.0002052,2,1.00647817081036,3,7435.8400281508,0.000773090557223364,PASS,CCM operating sweep; load fraction=0.5
OP_44_1,Model_A,24,0.55,100,50000,0.0001,0.05,NaN,NaN,200,0,0,RLS,NaN,0.00109623769433131,NaN,0.324922950644846,NaN,2,1.00235410428513,3,13080.2411020047,0.000596575158564047,PASS,CCM operating sweep; load fraction=0.75
