adc_bits,voltage_LSB_V,current_LSB_A,samples_per_cycle,sample_phase_fraction,method,pre_projection_C_F,pre_projection_ESR_Ohm,C_est_F,C_MAPE_percent,ESR_est_Ohm,ESR_MAPE_percent,status,edge_window_us,edge_points_per_side
12,0.0244200244200244,0.00244200244200244,8,0.9375,TR_TS_LTVKF,8.30954725194161e-05,0.05,8.66654644535035e-05,13.3345355464965,0.05,0,FAIL,6,3
12,0.0244200244200244,0.00244200244200244,12,0,old_TS_LTVKF,0.000119715989901471,0.0434953329879388,0.000119715989901471,19.7159899014708,0.0434953329879388,13.0093340241223,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0,TR_TS_LTVKF,0.000105226789206605,0.0518556560953814,9.92167130221819e-05,0.78328697781811,0.0511108241868882,2.22164837377641,PASS,5,3
12,0.0244200244200244,0.00244200244200244,12,0.0625,old_TS_LTVKF,0.000145243340120371,0.0445354725653414,0.000145243340120371,45.2433401203713,0.0445354725653414,10.9290548693173,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.0625,TR_TS_LTVKF,9.05548971988875e-05,0.0627351371795993,9.06897436435356e-05,9.3102563564644,0.058506833696789,17.0136673935781,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.125,old_TS_LTVKF,0.00015,0.0454579838153353,0.00015,50,0.0454579838153353,9.08403236932943,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.125,TR_TS_LTVKF,0.000108384686475158,0.0442219733982049,0.00010528791687264,5.28791687264021,0.0493681470134063,1.26370597318745,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.1875,old_TS_LTVKF,6.28407703535057e-05,0.0481867379320856,6.28407703535057e-05,37.1592296464944,0.0481867379320856,3.62652413582881,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.1875,TR_TS_LTVKF,0.000108032261500709,0.0431755908809502,0.000105523052639841,5.52305263984079,0.049263592522758,1.47281495448393,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.25,old_TS_LTVKF,6.05045249554998e-05,0.0427947542792225,6.05045249554998e-05,39.4954750445002,0.0427947542792225,14.410491441555,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.25,TR_TS_LTVKF,0.000108669497299681,0.0448716054629874,0.000105408297316359,5.40829731635852,0.0512766782484751,2.5533564969501,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.3125,old_TS_LTVKF,6.23334704009967e-05,0.0470689339257949,6.23334704009967e-05,37.6665295990033,0.0470689339257949,5.8621321484101,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.3125,TR_TS_LTVKF,8.97622171292361e-05,0.0584860563313313,9.10835834771525e-05,8.91641652284751,0.055826376508361,11.652753016722,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.375,old_TS_LTVKF,7.18521436921515e-05,0.0470205685264227,7.18521436921515e-05,28.1478563078485,0.0470205685264227,5.95886294715459,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.375,TR_TS_LTVKF,8.97732573390754e-05,0.0577881948620903,9.08257523921451e-05,9.17424760785488,0.0557912548353204,11.5825096706409,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.4375,old_TS_LTVKF,0.000132041249610908,0.0503518094108284,0.000132041249610908,32.0412496109078,0.0503518094108284,0.703618821656748,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.4375,TR_TS_LTVKF,8.96570350544827e-05,0.0428953569303676,9.05803418285289e-05,9.41965817147112,0.0546812250124949,9.36245002498974,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.5,old_TS_LTVKF,0.00015,0.0621447395950222,0.00015,50,0.0621447395950222,24.2894791900445,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.5,TR_TS_LTVKF,9.04451094416873e-05,0.054158541257365,9.14561162818395e-05,8.54388371816052,0.0508384473214615,1.67689464292295,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.5625,old_TS_LTVKF,0.00015,0.0528559064310459,0.00015,50,0.0528559064310459,5.71181286209181,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.5625,TR_TS_LTVKF,0.000106623804661284,0.0527505890940716,0.000103455586911559,3.45558691155938,0.0507996633041481,1.59932660829611,FAIL,5,3
12,0.0244200244200244,0.00244200244200244,12,0.625,old_TS_LTVKF,0.00015,0.0536030648546523,0.00015,50,0.0536030648546523,7.20612970930454,FAIL,5,3
