test_id,Vin_V,D,load_fraction,measurement_type,NIS_mean,NIS_median,NIS_p95,rejected_fraction,NIS_gate,R_V,R_C_floor,R_R_floor
33,24,0.35,0.5,C,0.00442181249026596,0.000366696118227789,0.00384005294021764,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
33,24,0.35,0.5,R,0.00498331184571942,0.00137442478232633,0.0194140635099311,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
34,24,0.35,0.75,V,0.0586002730163198,2.14193535014412e-06,0.357001051157084,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
34,24,0.35,0.75,C,0.00372973888369504,0.000205510857024253,0.00183225829244635,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
34,24,0.35,0.75,R,0.00413242670218697,0.0014672180093091,0.014043951838984,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
35,24,0.35,1,V,0.0989655583996759,1.39972905393469e-06,0.846284679390597,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
35,24,0.35,1,C,0.0034773296988149,0.000136383568466821,0.0010691436333074,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
35,24,0.35,1,R,0.00364835384418967,0.000995965851103287,0.0106914384535534,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
37,24,0.45,0.25,V,0.0751287123299101,4.9016798099341e-06,0.44333531415586,0.196,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
37,24,0.45,0.25,C,0.00374744260023365,0.000400684540579833,0.00187862839880301,0.193548387096774,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
37,24,0.45,0.25,R,0.00824308241490033,0.00171480799252115,0.0235145818326466,0.192771084337349,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
38,24,0.45,0.5,V,0.0886210663558905,1.79048272166187e-06,0.412401184447322,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
38,24,0.45,0.5,C,0.00358534946959617,0.000212412711051563,0.00166376004857971,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
38,24,0.45,0.5,R,0.00548398069922594,0.00214242442561208,0.020101444885574,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
39,24,0.45,0.75,V,0.197871743558564,1.09248790379384e-06,1.47058894953837,0.00621052631578944,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
39,24,0.45,0.75,C,0.00336162756189713,9.26062775219834e-05,0.000812360057504907,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
39,24,0.45,0.75,R,0.00428622620157913,0.00102974264971622,0.0127922666313017,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
40,24,0.45,1,V,0.409623730867344,8.85128573667098e-07,3.40529815295843,0.0151578947368421,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
40,24,0.45,1,C,0.00327022391131157,5.0936542684142e-05,0.000442314851049744,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
40,24,0.45,1,R,0.00367717483521304,0.000616881751442646,0.0101350114309992,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
42,24,0.55,0.25,V,0.0860581383674371,5.65630790361191e-06,0.269414228091245,0.004,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
42,24,0.55,0.25,C,0.00432521210381819,0.00105502297526458,0.00329822907325313,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
42,24,0.55,0.25,R,0.00779197103733466,0.00321635794070962,0.0227026449979581,0,9,2.95209829359236e-06,5.32968473248614e-06,7.80751311191843e-06
